"","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"Afghanistan",5.71362189099993,5.68860435446024,5.7502357293178,5.86050560697864,6.02857206943836,6.19471146043774,6.23333951846747,6.16707802321597,6.00246379447276,5.86176847886406,5.76960375196012,5.81490250771038,5.85855691526605,6.69752310728351,9.10532722731034,7.49305732637692,6.80605112872302,10.7385725961507,11.2597515003275,9.32959361764097,11.983078049276,10.1451804456017,13.0590201758513,13.7625857246041,13.03178293164,11.8289184839444,10.8635474321088,10.2126186485276
"Albania",12.3340398182886,11.9481910834313,11.7434801776021,11.542205088009,11.5282808629061,11.8313266660708,12.2284697837415,12.6975379580398,13.0926517906981,13.3080175867149,13.6601691194729,18.5992174876331,18.7633404584116,13.140235480309,13.2886903454218,13.5865156952122,13.8012416162008,14.0701093163002,14.3919124068178,14.7648081184301,15.1882056952303,15.2606185734961,15.3694589865216,15.508854315451,15.6786095822263,15.8773931249245,16.1286526761697,16.3730858556925
"Algeria",8.70662529816559,9.2281638702376,9.73808002614704,10.2170343341563,10.6664086058637,11.0945865278615,11.5667559833156,12.0376135390871,12.3335222639293,12.4788852522984,12.5956468151008,12.5467101653107,12.5394127728726,12.5853478648179,16.4753935372065,15.6256086393288,14.9641974619474,14.7219189144546,15.5093182532202,15.1782691493444,15.2069452940385,15.4020032513198,15.5980522440531,15.7990265482332,16.0089127605268,16.233329987555,16.530740967137,16.8194053083741
"Andorra",7.82601472177402,7.87567384525145,8.02655860122467,8.25438572646053,8.54282112508183,8.88080802879979,9.23105259886907,9.87496065145723,10.7791953732479,11.703973380605,12.6528726273965,13.5465821234738,14.4557351263567,15.3742234108487,16.2976722133691,17.2181165909175,18.0516358308535,18.9000542489966,19.7848234433567,20.6827980144934,21.5832210908844,22.4150825634755,23.2495964540838,24.0874150847768,24.9280899670908,25.7717870178927,26.6603335747457,27.5390916602476
"Angola",6.33639507983696,6.13200529143981,5.94086030083149,5.83865811639572,5.76397826927526,5.69587883044176,5.91290103098351,6.37874875590212,6.77174829125724,6.87116078224145,6.86039559439497,7.12763160361519,7.60006129123091,7.89774938346099,11.1281031072478,8.74511321107076,7.38512083221778,13.7298445466305,12.3736979319796,11.0999221346529,14.8618693388962,14.0460690454655,13.5888977200894,13.355379646513,12.9811691660042,12.6121321755255,12.251309179635,11.9866258318095
"Antigua and Barbuda",10.4878657032656,11.0091662091719,11.6328392532502,12.3634194628694,13.0158060089536,13.6307695047422,14.0626470476766,14.4899978379574,14.9148245787054,15.3720738906672,15.82762789903,16.4074728513465,16.9778185268169,17.5356206714196,18.0767472913041,18.5968484906051,19.2482658977801,19.8887220177215,20.5161902516755,21.1265559146928,21.7155390634541,22.2864525120351,22.8460324714319,23.3921404715636,23.9200141183164,24.4232268074062,24.900251039484,25.3829936730729
"Argentina",10.420643533521,10.9584651160892,11.2697011605092,11.3335658587924,11.2796086751127,11.1454916039104,11.2470380231619,11.3231107842739,11.4707623989141,11.6711376288074,11.7029364281261,11.5313958175549,11.5976204309731,11.8971665116657,12.2236011899806,12.5718968282436,12.9337630800949,8.82349460911531,9.2508985736719,9.70628130321674,10.9571271390752,11.3096111508356,11.6382912776424,11.8628332515338,12.0364218795463,12.2425058292054,12.4777819860598,12.7368275519051
"Armenia",6.072658045315,6.19508738437879,6.76767271996194,7.68230822547233,8.54243627269974,9.28460626700801,10.0746216176777,10.8246493796142,11.5636647862492,12.2678295859785,12.9184604159453,13.3514583878173,13.6898916706725,13.9804394956371,14.218128370246,14.4073072340997,14.4694232035366,14.4030029123559,9.42856322906154,9.24997487142072,9.22365222788002,9.41882901376527,9.65212307617269,9.91098914628307,10.186814599912,10.4737271134886,10.7541334432582,11.0636877927977
"Australia",10.3231010972479,10.7221544843542,11.0236524980892,11.4131761951532,11.6759654102309,11.5477458515357,11.3973975201304,11.2504602078401,11.0446978359582,11.0130302749666,11.2407903914401,11.5911973110839,12.0274826872562,12.5157870252314,13.0062287853877,13.4924789318891,13.936861248179,14.3913411366407,14.8503025978325,15.3066007578574,15.7531997830632,16.2255373307296,16.6978724780819,17.1643082170903,17.6215348437864,18.0624164809121,18.4728817694385,18.8839308764844
"Austria",9.40336149049261,9.50858086395009,9.66877350969564,9.37094600345796,9.27045885028148,9.21577828446226,9.70278095503308,10.1474567644101,10.6015294908089,10.7657747711803,10.9819004626154,11.3225649503795,11.7197306792466,12.1379336733607,12.4519651762594,12.67119320262,12.9797484045006,13.33414221858,13.7180707420852,13.3440480630811,12.4246457572397,11.6109839670972,10.900998176632,10.3868038987729,10.1103934592564,9.83898416791621,9.03449669773216,8.1766634372799
"Azerbaijan",5.81478710830752,5.90947277340392,6.224207380611,6.62359628575209,7.18561343365088,7.56672782431939,8.04824204166579,8.55984479788906,9.09601032279001,9.62574749975843,10.1372213588908,10.5381775367444,10.946737137467,11.2962714198553,11.5862701764489,11.2756949760011,11.1986156806101,6.27895742669626,6.53400029380661,6.93569267882954,7.46148366938717,7.97613402584685,8.55743772127456,9.17528436519257,9.79185896562518,10.3828146311268,11.1094038297387,11.8188935384062
"Bahamas, The",10.4269081077587,10.8561933362086,11.4219582562046,11.8526629547179,12.2012170415654,12.6230369565476,13.1115929810126,13.7141902672796,14.2991747773483,14.7383957094081,15.1997645512001,15.8623243544678,16.5431650718761,17.1585358695487,16.7595030518651,17.1996922274009,17.6137281267657,18.1905885783722,18.7876190261653,19.3809085241843,20.029207330592,20.5201603136287,21.0034314702219,21.5269157675894,22.0660755200756,22.5984209846182,23.0422936321101,23.4791089922147
"Bahrain",9.31729151896687,9.83559780077869,10.3571178815264,10.9305631226314,11.6165755442945,12.3837539404165,13.0028894772416,13.5801729022644,14.1468421830332,14.7131414291222,15.2768256214079,16.1057605100886,16.9238551412197,17.7227733067354,18.4953357451779,19.2374760080277,20.3033483636174,21.3149218672586,22.2647016353919,23.1508527384735,23.9757046453331,24.2849394942912,24.5835512374918,24.8724799413632,25.1523506706585,25.2501464731878,25.3439758726707,25.4550976197004
"Bangladesh",6.60964541969661,7.13156547869122,7.62140230142314,8.09588313659255,8.5894853937377,9.05523542461453,9.3601928477345,9.56632603127387,9.7493115149816,9.87657457508073,10.0153267363169,10.2092213720947,12.1816579993706,11.9978439280691,11.9708576865825,12.182739281638,15.0003376365667,16.9514108182726,16.6110383620164,16.5488514236205,16.4001197363081,18.8649038972616,18.5923475635153,18.4782865169722,18.4208358979808,18.4120820849533,18.3351254732905,18.2931960795493
"Barbados",11.4753435745082,11.5797522973787,11.3053582090418,10.9377428822153,10.7090837954814,10.4334519525548,10.6245419487598,10.8441741235329,11.1007055717814,11.2024366935635,11.3470359710566,11.7335519392829,12.0669851576554,12.3553856529586,12.7602190799699,13.2334464576579,13.5944417475914,13.5909915015071,14.662999832503,15.0964187355408,15.3383555183159,15.6280532889402,16.027991257805,16.3789254868923,16.7396955037232,16.7754715533914,16.5371264321746,16.3781042279478
"Belarus",6.606729360074,6.82997788118117,7.49502409985744,8.4631425243338,9.3462115740753,10.0925547696347,10.9372541813275,11.7347146387273,12.5354456927043,13.3280278180632,14.1041443679002,14.786671611943,15.4772666702893,16.1733582914769,16.8717261056648,17.5695230634576,18.18203489187,18.7970250818612,19.4129676494354,20.0310450985741,20.6507281723255,21.1969310159553,21.7458417255063,19.5619028243496,19.7705645086631,19.9601914531904,20.2550358197059,20.5680052476877
"Belgium",10.5978419290525,10.561516200102,10.4936167112335,10.3894021930327,10.1715797114476,10.1988250206806,10.3376945553346,10.3827195573614,10.5848100916231,10.9046071481753,11.2722746524021,11.6180788096229,11.986149290269,12.3711933018042,12.7702458192054,13.2568524588133,13.8380613288851,14.4693233853006,15.1115643492112,15.7921030989089,16.4940381919797,17.1918829072174,17.880577252838,18.5149783540738,19.1017111548432,19.6869668660448,20.2833680863958,20.872423422225
