"","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"1",1876651.67644929,937801.206310671,868118.606890536,741390.559857493,658643.950045739,377130.889823678,471111.919111586,230752.833719421,112202.130523518,109940.112631741,88818.7153965172,254835.814158356,393046.296450864,438218.424718181,475904.255975104,385669.805021601,318694.82575322,178060.738535428,202915.094032222,312850.971520097,405334.818293526,203884.292431679,14253.7091698965,20776.2742312453,71373.3492076819,105496.527813974,50212.3077905125,66035.0784531548,129660.107580065,92447.2923651246,136782.353136239,125855.070585303,10719.2504403254,26499.7545268423,36675.6390623633,8098.00649530545,37379.2136704268
"2",626186.271773639,694572.894458303,511691.292276607,517980.411051386,521690.564356176,354960.500787085,302689.973733078,494144.261678155,448763.692066613,685224.3550651,421134.810997084,379800.871985924,227026.652641482,146128.469325311,62235.7775791435,35138.7545838078,193756.623449695,93646.0006166667,50361.8848748448,65333.3529815767,205057.958603587,268196.42194623,93342.5771563971,1342.39567953013,15208.0540000251,31742.0126173106,12890.3156779399,17730.7131538409,58171.8337427237,17861.8108988885,33640.4701161665,52769.5220843969,194904.209388863,271735.948573507,27863.6108451857,47831.2970007249,70169.2221852298
"3",NA,NA,1657.04223894113,2440.44631892856,2844.77929667109,3037.77075253883,136034,3196.94391940363,331580.896963634,4512.82016355172,5373.72320088942,4874.20606401189,5841.10513566818,4582.46272085412,4092.60796487302,5188.36876063705,6699.6698576824,6860.07597250297,5778.41146158786,4447.35205863087,58.037901009079,195.105483817399,377.041954744179,537.839673194133,660.481677051974,834.519873111987,885.711616085635,3010.96161178566,1801.95299291608,1374.95102937141,4168.17347330094,2148.98301006222,1532.16007792841,1163.50165134494,3625.05957362623,1941.678989929,1401.6404288146
"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,NA,10,10,25,5,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0
"5",14100,8455,10525,8745,12000,10790,14565,5935,5340,5935,5740,5315,3725,2590,3355,2125,1215,1480,585,345,150,265,210,110,145,NA,NA,275,NA,435,NA,660,0,2495,1735,1115,605
"6",87910,22160,35530,158755,46200,32240,40120,23755,20045,9835,210465,102755,25435,670,3275,295,625,51145,1565,30,0,0,0,0,0,0,0,0,15,85,15,10,0,1590,0,0,15
"7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6810.47200286285,6709.99401958584,6620.62313304369,6526.31792663327,6398.79533750895,6597.72055330926,6441.01125138086,6235.63916457617,6018.42244177318,5807.90778325326,5599.37021479374,5512.23109925532,5319.35528908956,5189.99879927696,5499.97778887564,5344.76392657361,5172.2900578217,32.7433383269596,36.1262379506136,32.8486294706841,35.5505059063247,38.3808541549641,41.4027978313586,45.5820007724541,48.6062303184549,51.5444725760433,54.6163779830303
"8",1235,0,50,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0
"9",NA,NA,NA,NA,NA,NA,NA,1240,845,4400,6900,7125,22680,24475,5990,2490,4265,1635,1175,540,705,160,455,350,50,NA,55,325,520,350,950,995,790,1675,370,495,405
"10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,300,NA,NA,NA,0,0,5,NA,0,NA,450,75,45,115,100,2240,245,260,340,0,0,540,1545,135,475
