,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
AFG,657416,647919,635549,621846,608524,597872,592195,593006,601366,617887,643148,677144,718002,763389,811322,859544,905981,949186,987887,1020975,1047942,1069043,1085485,1098239,1107514,1112976,1114030,1110560,1102984,1092181,1079406,1066046,1053370
AGO,405187,418898,432971,447294,461747,476219,490634,505010,519380,533755,548144,562566,577105,591869,606960,622489,638551,655205,672499,690483,709358,729348,750381,772201,794448,816457,837467,856997,874823,890976,905805,919918,934096
ALB,80218,80853,81650,82590,83614,84609,85431,85945,86049,85692,84870,83626,82066,80282,78312,76158,73799,71216,68422,65461,62351,59101,55774,52465,49292,46419,44010,42140,40838,40096,39859,40022,40416
AND,512,506,503,505,510,518,522,523,526,530,536,547,562,581,599,613,623,625,622,620,623,631,643,657,670,681,690,699,708,717,726,929,929
ARE,29358,32050,34647,37085,39304,41248,42883,44232,45326,46182,46801,47178,47362,47431,47475,47501,47480,47491,47706,48367,49912,52824,57301,63345,70806,79470,89022,98858,108322,116864,123820,128632,131217
ARG,692003,688694,684883,682384,681988,684054,688342,693729,699207,704346,708734,712081,714346,715508,715479,714088,711203,707052,702019,696516,691184,686704,683504,681823,681716,683029,685390,688158,690765,692896,694324,694972,694988
ARM,69463,71340,73338,75338,77185,78648,79486,79546,78741,77040,74401,70834,66563,61883,57065,52467,48436,45160,42745,41239,40586,40617,41024,41533,41995,42312,42455,42487,42452,42331,42105,41766,41322
ATG,1300,1288,1281,1272,1259,1243,1224,1207,1195,1189,1193,1208,1234,1270,1314,1363,1412,1459,1499,1531,1553,1563,1565,1561,1551,1538,1523,1509,1496,1487,1481,1478,1479
AUS,228160,230283,233151,236160,239062,241767,244346,246961,249664,252331,254712,256512,257563,257811,257307,256126,254409,252494,250766,249551,249319,250509,253212,257355,262781,269138,275944,282648,288797,294145,298584,302189,305263
AUT,88604,89080,89469,89599,89412,89010,88611,88448,88643,89159,89823,90377,90571,90245,89370,88002,86285,84459,82731,81211,79967,79011,78279,77717,77329,77122,77108,77279,77616,78093,78687,79374,80126
AZE,155240,158817,162993,167655,172616,177747,182940,187948,192420,195970,197914,197548,194707,189546,182431,174046,165282,157107,150332,145433,142738,142279,143511,145863,149008,152608,156360,160003,163269,165888,167633,168386,168244
BDI,210365,217461,225013,232911,240956,248867,256341,263113,268970,273771,277320,279485,280477,280629,280272,279756,279417,279636,280828,283387,287795,294438,303268,314088,326685,340767,355961,371725,387502,402841,417369,430871,443384
BEL,119490,119176,118987,118834,118674,118530,118467,118547,118782,119122,119446,119599,119478,119042,118312,117360,116301,115308,114537,114087,114070,114567,115529,116870,118512,120336,122200,123970,125533,126819,127796,128484,128969
BEN,176076,180993,186079,191340,196776,202409,208261,214331,220595,227020,233548,240116,246673,253184,259636,266051,272476,278964,285541,292195,298897,305603,312253,318794,325194,331424,337472,343359,349107,354730,360246,365676,371041
BFA,336425,344251,351958,359601,367236,374955,382871,391106,399771,408935,418659,428968,439799,451080,462762,474797,487141,499735,512507,525390,538355,551407,564536,577689,590774,603649,616169,628259,639891,651071,661853,672337,682673
BGD,3560189,3607337,3650592,3688217,3719212,3742871,3759082,3768844,3773182,3772641,3767807,3759224,3747375,3732753,3715819,3697100,3676965,3655213,3631476,3605419,3575505,3539789,3497744,3450033,3398283,3345762,3296456,3253484,3218765,3192727,3174400,3161465,3150249
BGR,132522,129749,127181,124952,123048,121269,119291,116778,113515,109474,104675,99231,93454,87684,82173,77214,73053,69761,67357,65853,65216,65345,66006,66956,68020,69029,69862,70491,70894,71023,70867,70453,69865
BHR,11623,12129,12614,13068,13474,13817,14081,14266,14379,14424,14405,14326,14206,14070,13940,13847,13815,13858,13984,14199,14507,14901,15362,15866,16395,16941,17501,18066,18617,19130,19564,19881,20064
BHS,5530,5712,5862,5964,6015,6027,6019,6017,6036,6078,6137,6198,6240,6250,6220,6145,6019,5854,5666,5468,5282,5131,5029,4984,4996,5060,5163,5282,5399,5503,5591,5661,5720
BIH,77414,77403,77556,77791,77961,77757,76823,74978,72182,68530,64293,59869,55677,52034,49069,46756,44916,43249,41542,39756,37936,36197,34696,33545,32766,32348,32240,32341,32558,32840,33158,33506,33898
BLR,157199,160047,162534,164378,165324,165044,163272,160037,155478,149753,143064,135664,127940,120300,113084,106597,101032,96392,92681,89976,88393,88015,88706,90248,92416,94919,97458,99787,101697,103033,103721,103796,103438
BLZ,6031,6090,6153,6219,6291,6367,6445,6520,6589,6650,6700,6738,6765,6783,6794,6804,6816,6836,6864,6903,6952,7006,7062,7118,7172,7225,7281,7342,7409,7482,7558,7634,7708
BOL,213093,215540,218341,221399,224692,228262,232176,236408,240861,245388,249738,253634,256903,259456,261291,262542,263445,264272,265208,266298,267435,268409,269017,269162,268895,268383,267865,267593,267749,268398,269537,271084,272843
BRA,3896442,3933136,3952137,3952735,3935224,3900520,3850831,3791728,3729354,3668674,3615963,3576780,3552467,3542737,3546694,3562265,3585948,3611552,3632820,3645119,3642217,3618749,3574972,3513403,3437222,3352790,3268182,3190968,3126721,3077921,3044474,3023429,3008538
BRB,4403,4397,4393,4383,4365,4337,4301,4260,4218,4175,4129,4079,4023,3962,3897,3832,3770,3714,3666,3629,3603,3587,3578,3576,3577,3581,3586,3592,3597,3602,3606,3608,3609
BRN,6389,6459,6560,6698,6875,7085,7318,7557,7780,7976,8128,8223,8262,8249,8189,8094,7981,7864,7759,7669,7596,7533,7469,7396,7311,7217,7115,7010,6908,6811,6720,6638,6562
BTN,18218,18521,18849,19202,19561,19881,20107,20198,20130,19905,19541,19076,18566,18060,17587,17165,16797,16467,16163,15886,15638,15419,15229,15066,14931,14826,14755,14719,14710,14722,14743,14759,14761
BWA,44007,45016,45873,46572,47111,47493,47730,47858,47913,47924,47922,47934,47968,48025,48103,48187,48245,48252,48196,48083,47935,47786,47671,47611,47610,47660,47739,47817,47867,47882,47859,47805,47735
CAF,96885,99567,102302,105020,107666,110166,112454,114531,116429,118190,119915,121734,123740,125979,128441,131075,133787,136441,138914,141133,143013,144493,145616,146457,147089,147636,148245,149025,150048,151337,152871,154581,156339
CAN,362042,364069,365936,367782,369629,371706,374309,377466,380987,384519,387300,388424,387348,383874,378153,370584,361823,352895,344781,338149,333691,331881,332542,335355,340086,346305,353457,360912,368130,374774,380697,385971,390900
CHE,72567,72752,73298,74041,74885,75778,76712,77705,78741,79753,80665,81402,81918,82180,82161,81811,81094,80066,78822,77466,76144,75011,74178,73726,73699,74093,74856,75865,77014,78255,79566,80951,82430
CHL,256657,261994,268323,274961,281454,287462,292806,297454,301302,304105,305492,305119,302983,299241,294123,287988,281278,274506,268140,262505,257848,254251,251513,249437,247954,246977,246406,246117,245985,245907,245812,245672,245510
CHN,21017524,21636775,22600232,23776994,25046187,26229225,27139180,27660456,27725435,27312320,26446885,25212480,23779466,22308974,20900054,19637213,18569204,17683691,16970154,16442798,16110752,15969883,15984439,16114365,16329953,16607119,16928358,17275772,17624664,17944782,18203620,18375458,18454740
CIV,399937,411032,421795,432323,442669,452856,462892,472825,482743,492756,503123,514131,525847,538183,550939,563720,576031,587441,597649,606542,613956,619833,624601,628846,633129,638405,645697,655449,667723,682278,698375,714928,730750
CMR,411756,425796,439963,453997,467714,480947,493605,505755,517478,528811,539755,550316,560611,570822,581146,591881,603332,615636,628832,642886,657685,673031,688595,704054,719189,733799,747764,761120,773913,786140,797838,809079,819976
COD,1227670,1264795,1302984,1342404,1383459,1427234,1475043,1527488,1584540,1645609,1709602,1775060,1840220,1903512,1963920,2020509,2072816,2121569,2167690,2211823,2255004,2298405,2342922,2389168,2437406,2487464,2538747,2590290,2641343,2691652,2741240,2790382,2839496
COG,75641,77163,78637,80094,81557,83039,84541,86082,87693,89419,91326,93484,95922,98644,101637,104861,108250,111729,115233,118727,122209,125702,129243,132852,136517,140238,144014,147810,151571,155232,158683,161804,164551
COK,561,587,576,567,560,588,583,578,575,572,536,535,534,499,497,492,485,477,467,458,450,443,438,434,430,425,421,416,411,406,401,430,430
COL,853137,858520,863249,867913,872695,877830,883493,889573,895866,902161,908062,913107,916977,919502,920673,920600,919529,917919,916213,914700,913731,913587,914221,915482,917210,919081,920686,921637,921644,920580,918426,915309,911543
COM,14427,14892,15265,15532,15693,15756,15740,15687,15639,15628,15685,15837,16086,16429,16865,17390,17992,18646,19325,20010,20682,21331,21954,22545,23094,23593,24035,24425,24767,25065,25323,25542,25732
CPV,12941,13021,13127,13257,13408,13565,13711,13826,13897,13920,13899,13846,13777,13702,13625,13540,13441,13318,13163,12975,12752,12493,12204,11899,11586,11284,11006,10763,10560,10400,10281,10196,10132
CRI,70933,72944,74970,76972,78868,80534,81841,82730,83184,83222,82911,82361,81713,81087,80546,80128,79834,79600,79366,79110,78780,78322,77724,76999,76180,75346,74595,74005,73619,73441,73437,73538,73648
CUB,159443,159955,162651,166523,170912,175043,178238,180203,180768,179808,177400,173844,169715,165516,161504,157907,154841,152184,149788,147579,145363,142900,140029,136685,132906,128837,124704,120776,117267,114276,111845,109938,108398
CYP,13539,13843,14097,14285,14403,14465,14497,14527,14571,14628,14678,14690,14638,14507,14297,14021,13696,13355,13030,12742,12511,12352,12260,12228,12251,12321,12423,12542,12662,12773,12870,12953,13029
CZE,161801,155216,149027,143743,139607,136683,134789,133387,131974,130292,127960,124639,120338,115225,109525,103653,98123,93437,89988,87987,87583,88771,91186,94416,98170,102116,105948,109466,112494,114883,116564,117579,118114
DEU,827425,834047,842068,850871,859252,865578,868333,867098,861945,853193,842036,830216,819443,810856,804725,800523,797058,792787,786630,778370,768119,756390,744247,732668,722204,713376,706513,701488,698116,696314,696002,697040,699047
DJI,13878,14591,15355,16182,17070,18027,19057,20131,21202,22220,23101,23756,24143,24256,24112,23763,23287,22788,22354,22034,21862,21844,21937,22099,22314,22562,22826,23088,23333,23546,23719,23849,23943
DMA,2002,2005,2003,1993,1980,1962,1945,1917,1872,1816,1755,1703,1664,1637,1623,1613,1601,1589,1579,1568,1557,1546,1535,1526,1518,1509,1502,1495,1484,1473,1462,1206,1206
DNK,56725,55085,53945,53377,53404,54035,55231,56835,58666,60583,62426,64057,65411,66443,67113,67408,67359,67072,66654,66170,65691,65274,64935,64682,64523,64438,64381,64306,64185,64025,63852,63706,63639
DOM,200102,202412,204675,206780,208666,210330,211817,213198,214505,215714,216723,217403,217688,217582,217152,216553,215991,215644,215630,215981,216669,217595,218580,219462,220161,220611,220788,220730,220476,220030,219403,218607,217671
DZA,863495,875903,885368,891519,894111,893137,888846,881752,872257,860484,845882,827625,805585,780301,752867,724418,696148,669747,647128,630077,621083,622367,634020,655215,684779,721042,761857,804129,844713,881118,910887,932360,945852
ECU,274864,277461,280427,283753,287367,291073,294604,297722,300273,302221,303611,304577,305360,306171,307122,308321,309833,311600,313542,315602,317678,319650,321416,322903,324080,324956,325584,326060,326462,326818,327135,327397,327571
EGY,1696830,1721844,1746095,1768819,1788676,1802976,1808732,1804777,1791249,1769331,1741534,1711270,1682396,1658111,1640213,1629331,1624762,1624430,1626828,1631849,1640339,1653621,1672352,1696338,1724539,1755310,1786655,1816449,1842843,1864617,1880980,1891861,1898349
