iso,region,gbd
AFG,EMR,SAsia
AGO,AFR,SSAFR
ALB,EUR,WCEuro
AND,EUR,WCEuro
ARE,EMR,NAfr/MEast
ARG,AMR,Amr
ARM,EUR,EEuro/CAsia
ATG,AMR,Amr
AUS,WPR,AsiaPac/AUS
AUT,EUR,WCEuro
AZE,EUR,EEuro/CAsia
BDI,AFR,SSAFR
BEL,EUR,WCEuro
BEN,AFR,SSAFR
BFA,AFR,SSAFR
BGD,SEAR,SAsia
BGR,EUR,WCEuro
BHR,EMR,NAfr/MEast
BHS,AMR,Amr
BIH,EUR,WCEuro
BLR,EUR,EEuro/CAsia
BLZ,AMR,Amr
BOL,AMR,Amr
BRA,AMR,Amr
BRB,AMR,Amr
BRN,WPR,AsiaPac/AUS
BTN,SEAR,SAsia
BWA,AFR,SSAFR
CAF,AFR,SSAFR
CAN,AMR,Amr
CHE,EUR,WCEuro
CHL,AMR,Amr
CHN,WPR,EAsia
CIV,AFR,SSAFR
CMR,AFR,SSAFR
COD,AFR,SSAFR
COG,AFR,SSAFR
COK,WPR,SEAsia
COL,AMR,Amr
COM,AFR,SSAFR
CPV,AFR,SSAFR
CRI,AMR,Amr
CUB,AMR,Amr
CYP,EUR,WCEuro
CZE,EUR,WCEuro
DEU,EUR,WCEuro
DJI,EMR,SSAFR
DMA,AMR,Amr
DNK,EUR,WCEuro
DOM,AMR,Amr
DZA,AFR,NAfr/MEast
ECU,AMR,Amr
EGY,EMR,NAfr/MEast
ERI,AFR,SSAFR
ESP,EUR,WCEuro
EST,EUR,EEuro/CAsia
ETH,AFR,SSAFR
FIN,EUR,WCEuro
FJI,WPR,SEAsia
FRA,EUR,WCEuro
FSM,WPR,SEAsia
GAB,AFR,SSAFR
GBR,EUR,WCEuro
GEO,EUR,EEuro/CAsia
GHA,AFR,SSAFR
GIN,AFR,SSAFR
GMB,AFR,SSAFR
GNB,AFR,SSAFR
GNQ,AFR,SSAFR
GRC,EUR,WCEuro
GRD,AMR,Amr
GTM,AMR,Amr
GUY,AMR,Amr
HND,AMR,Amr
HRV,EUR,WCEuro
HTI,AMR,Amr
HUN,EUR,WCEuro
IDN,SEAR,SEAsia
IND,SEAR,SAsia
IRL,EUR,WCEuro
IRN,EMR,NAfr/MEast
IRQ,EMR,NAfr/MEast
ISL,EUR,WCEuro
ISR,EUR,WCEuro
ITA,EUR,WCEuro
JAM,AMR,Amr
JOR,EMR,NAfr/MEast
JPN,WPR,AsiaPac/AUS
KAZ,EUR,EEuro/CAsia
KEN,AFR,SSAFR
KGZ,EUR,EEuro/CAsia
KHM,WPR,SEAsia
KIR,WPR,SEAsia
KNA,AMR,Amr
KOR,WPR,AsiaPac/AUS
KWT,EMR,NAfr/MEast
LAO,WPR,SEAsia
LBN,EMR,NAfr/MEast
LBR,AFR,SSAFR
LBY,EMR,NAfr/MEast
LCA,AMR,Amr
LKA,SEAR,SEAsia
LSO,AFR,SSAFR
LTU,EUR,EEuro/CAsia
LUX,EUR,WCEuro
LVA,EUR,EEuro/CAsia
MAR,EMR,NAfr/MEast
MCO,EUR,WCEuro
MDA,EUR,EEuro/CAsia
MDG,AFR,SSAFR
MDV,SEAR,SEAsia
MEX,AMR,Amr
MHL,WPR,SEAsia
MKD,EUR,WCEuro
MLI,AFR,SSAFR
MLT,EUR,WCEuro
MMR,SEAR,SEAsia
MNE,EUR,WCEuro
MNG,WPR,EEuro/CAsia
MOZ,AFR,SSAFR
MRT,AFR,SSAFR
MUS,AFR,SEAsia
MWI,AFR,SSAFR
MYS,WPR,SEAsia
NAM,AFR,SSAFR
NER,AFR,SSAFR
NGA,AFR,SSAFR
NIC,AMR,Amr
NIU,WPR,SEAsia
NLD,EUR,WCEuro
NOR,EUR,WCEuro
NPL,SEAR,SAsia
NRU,WPR,SEAsia
NZL,WPR,AsiaPac/AUS
OMN,EMR,NAfr/MEast
PAK,EMR,SAsia
PAN,AMR,Amr
PER,AMR,Amr
PHL,WPR,SEAsia
PLW,WPR,SEAsia
PNG,WPR,SEAsia
POL,EUR,WCEuro
PRK,SEAR,EAsia
PRT,EUR,WCEuro
PRY,AMR,Amr
QAT,EMR,NAfr/MEast
ROU,EUR,WCEuro
RUS,EUR,EEuro/CAsia
RWA,AFR,SSAFR
SAU,EMR,NAfr/MEast
SDN,EMR,SSAFR
SEN,AFR,SSAFR
SGP,WPR,AsiaPac/AUS
SLB,WPR,SEAsia
SLE,AFR,SSAFR
SLV,AMR,Amr
SMR,EUR,WCEuro
SOM,EMR,SSAFR
SRB,EUR,WCEuro
STP,AFR,SSAFR
SUR,AMR,Amr
SVK,EUR,WCEuro
SVN,EUR,WCEuro
SWE,EUR,WCEuro
SWZ,AFR,SSAFR
SYC,AFR,SEAsia
SYR,EMR,NAfr/MEast
TCD,AFR,SSAFR
TGO,AFR,SSAFR
THA,SEAR,SEAsia
TJK,EUR,EEuro/CAsia
TKM,EUR,EEuro/CAsia
TLS,SEAR,SEAsia
TON,WPR,SEAsia
TTO,AMR,Amr
TUN,EMR,NAfr/MEast
TUR,EUR,NAfr/MEast
TUV,WPR,SEAsia
TZA,AFR,SSAFR
UGA,AFR,SSAFR
UKR,EUR,EEuro/CAsia
URY,AMR,Amr
USA,AMR,Amr
UZB,EUR,EEuro/CAsia
VCT,AMR,Amr
VEN,AMR,Amr
VNM,WPR,SEAsia
VUT,WPR,SEAsia
WSM,WPR,SEAsia
YEM,EMR,NAfr/MEast
ZAF,AFR,SSAFR
ZMB,AFR,SSAFR
ZWE,AFR,SSAFR
