,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
AFG,264200,259400,254400,249100,243800,236600,229000,221000,213100,205200,198900,192000,184100,176800,169600,162900,158000,152000,146900,143700,139800,136200,132800,129200,125900,122700,119400,116300,113400,109700,106700,103900,101100,101100,101100,101100,101100,101100
AGO,292200,286000,282400,278000,273800,269100,265000,259900,256300,251400,247100,243200,239100,235400,230900,226300,221700,217200,212100,207800,203500,199300,195400,191200,187100,183300,179100,175600,172000,167400,164500,161000,157600,157600,157600,157600,157600,157600
ALB,0,0,3826,3705,52100,50100,48400,47200,45600,44000,42800,41200,39600,38300,37100,35800,34600,32700,31100,29300,27800,26300,25000,23500,22200,21000,19700,18700,17800,16900,15800,15000,14300,14300,14300,14300,14300,14300
AND,0,0,0,0,0,0,0,0,0,5,5,8300,7900,7500,7100,6800,6400,6100,5800,5500,5200,5000,4800,4600,4400,4300,4100,4000,3900,3700,3600,3500,3300,3300,3300,3300,3300,3300
ARE,46500,43100,40200,37200,34600,32000,29800,28000,26300,24700,23500,22200,21000,19800,18600,17600,16500,15700,14800,13900,13100,12300,11700,10900,10400,9800,9300,8700,8200,7800,7400,7000,6600,6600,6600,6600,6600,6600
ARG,47600,44300,41200,38300,36400,34800,33400,32100,30800,29700,28700,27600,26600,25700,24900,24200,23400,22700,22000,21400,20800,20300,19700,19000,18400,17800,17200,16700,16100,15500,15000,14500,14100,14100,14100,14100,14100,14100
ARM,74200,71400,68400,65500,63100,60400,57900,55600,53400,79300,49100,47200,45300,43400,41700,39800,37900,36100,34300,32800,31300,29800,28300,27000,25700,24700,23200,22300,21100,20200,19200,18300,17500,17500,17500,17500,17500,17500
ATG,0,0,0,0,0,0,0,0,0,31,29,26800,24900,23400,22000,20800,19900,18700,17800,16800,15700,14800,14000,13100,12400,11700,10900,10400,9700,9100,8600,8100,7600,7600,7600,7600,7600,7600
AUS,13800,13200,12700,12300,11900,11500,11200,10900,10500,10000,9600,9100,8600,8200,7800,7400,7100,6900,6700,6500,6400,6200,6100,6000,5900,5700,5600,5500,5300,5100,4900,4700,4500,4500,4500,4500,4500,4500
AUT,17300,16300,15500,14800,14000,13200,12500,11800,11200,10600,10000,9400,8900,8400,7900,7400,6900,6500,6200,5900,5700,5600,5400,5300,5200,5000,4900,4700,4600,4500,4400,4300,4200,4200,4200,4200,4200,4200
AZE,17517,109200,106900,106000,104400,103200,101300,100300,98700,97500,96000,94500,93500,92600,91600,87700,84400,80800,77600,74500,71600,68600,66400,63300,61000,59100,56800,54400,52900,50200,49100,46400,44700,44700,44700,44700,44700,44700
BDI,203500,200000,196500,193200,190500,189100,186200,185900,184400,183900,182800,182600,182800,182000,181800,179800,177100,175100,172500,169600,167700,164600,162700,159900,158300,155800,152800,150500,148100,146300,144000,141700,139100,139100,139100,139100,139100,139100
BEL,15300,14600,13900,13300,12800,12300,11800,11400,11000,10600,10300,10000,9600,9100,8600,8100,7600,7100,6700,6400,6100,5800,5600,5400,5200,5100,4900,4800,4700,4600,4500,4400,4300,4300,4300,4300,4300,4300
BEN,218900,215300,210500,206700,202600,198800,195300,191700,188200,184600,181100,177300,173800,170200,166300,162300,158500,154500,150400,146800,143200,139700,136200,133000,129500,126400,123200,120200,117200,114500,111700,108800,106000,106000,106000,106000,106000,106000
BFA,247900,241800,235700,231000,226200,221900,218100,215100,212500,210800,210000,208400,206900,205000,203000,200800,198700,195600,191900,188700,185200,181500,177900,174700,171100,168200,164500,161700,157300,154800,151900,148800,146400,146400,146400,146400,146400,146400
BGD,199300,193100,186200,183100,179100,172100,165700,159000,152800,148100,143700,138800,134000,128000,121900,116500,110800,104500,99200,93900,89300,84400,80000,75700,71700,67700,64100,60700,57400,54300,51400,48700,46000,46000,46000,46000,46000,46000
BGR,29900,28800,27700,26600,25600,24600,23700,23000,22500,22300,22200,22200,22300,22500,22800,22900,22900,22700,22400,22000,21400,20700,19900,18900,17900,16900,16000,15300,14600,13900,13300,12700,12100,12100,12100,12100,12100,12100
BHR,35000,32100,29700,27400,25500,23700,22500,21600,21000,20700,20600,20500,20000,19300,18300,17100,16000,15000,14100,13400,12800,12400,12200,11900,11700,11400,11200,10900,10700,10500,10400,10200,10000,10000,10000,10000,10000,10000
BHS,28600,28300,27900,27600,27000,26500,25900,25200,24500,23800,22900,21900,21100,20200,19300,18400,17900,17400,17200,17100,17000,16900,16700,16600,16400,16300,16400,16300,16300,16300,16200,16200,16200,16200,16200,16200,16200,16200
BIH,0,0,2224,2122,30400,28200,26300,24500,22800,21400,20000,18800,17600,16500,15500,14400,13300,12400,11700,10900,10100,9600,9300,9000,8800,8700,8800,8600,8500,8300,8100,7900,7700,7700,7700,7700,7700,7700
BLR,23700,22800,22100,21400,20700,20000,19400,18700,18200,17700,17400,17200,17000,17000,16900,16900,16800,16500,16000,15400,14600,13700,12800,11900,11000,10100,9300,8600,7900,7300,6700,6100,5600,5600,5600,5600,5600,5600
BLZ,75500,72000,68400,65300,62000,59400,56300,53500,51000,48700,46200,43900,41800,39700,37600,35700,33700,31900,30300,28700,27500,26300,25200,24300,23200,22300,21400,20600,19800,19000,18400,17600,16900,16900,16900,16900,16900,16900
BOL,168900,164400,160100,156500,152600,148500,144200,139600,134400,129500,124500,119500,115300,111500,107500,103700,99500,95400,91400,87800,84000,80800,77100,74200,71100,68100,65100,62400,59800,57300,55200,52900,50600,50600,50600,50600,50600,50600
BRA,93200,88600,84200,79900,76000,72400,69500,66900,64500,62400,60200,58000,56000,54200,52300,50200,47900,45500,42700,40300,37900,35700,33600,31500,29100,26800,24800,22900,21200,19600,18100,16800,15600,15600,15600,15600,15600,15600
BRB,28900,27500,26300,25200,24000,23000,21900,21000,20100,19300,18500,17900,17400,16900,16800,16500,16500,16600,16700,16900,17000,17200,17300,17500,17700,17900,18200,18300,18700,19000,19300,19300,19700,19700,19700,19700,19700,19700
BRN,97,17300,16700,16100,15600,15100,14600,14100,13600,13100,12700,12300,11800,11400,11000,10800,10600,10400,10300,10100,9900,9600,9400,9100,8900,8700,8500,8200,8000,7800,7600,7400,7200,7200,7200,7200,7200,7200
BTN,207300,200000,193300,187100,180600,174400,168400,162400,156300,150000,144200,138400,132700,127000,121900,116300,111600,106600,102100,97300,93100,89100,85200,81300,77700,74200,70800,67300,64300,61700,59000,55900,53700,53700,53700,53700,53700,53700
BWA,82100,77800,73500,69400,66200,63500,60600,58700,56700,55100,53500,52800,53200,54800,57400,60800,64800,68800,72700,75900,78800,81100,80800,78400,72100,59100,46100,37900,34200,32600,30100,27500,25900,25900,25900,25900,25900,25900
CAF,177500,175200,173600,172000,170500,169300,168400,167700,167700,167600,168100,169100,170100,171100,171800,172300,172600,172800,172700,172500,172300,172000,171400,171100,170700,170300,169800,168700,167600,166700,165700,164600,163500,163500,163500,163500,163500,163500
CAN,13400,12600,11900,11200,10700,10200,9800,9500,9200,8900,8500,8300,8000,7700,7400,7200,7000,6800,6600,6400,6300,6200,6200,6200,6100,6100,6000,6000,5900,5800,5700,5600,5600,5600,5600,5600,5600,5600
CHE,11000,10500,10100,9800,9500,9200,9000,8900,8700,8600,8300,8100,7800,7400,7100,6700,6400,6200,6000,5900,5800,5700,5600,5500,5300,5200,5100,4900,4800,4700,4600,4500,4400,4400,4400,4400,4400,4400
CHL,38100,33900,30500,28000,26000,24500,23300,22300,21400,20600,19700,18700,17500,16300,15300,14400,13600,12900,12300,11800,11300,10800,10400,10000,9700,9500,9300,9200,9100,9000,8900,8800,8700,8700,8700,8700,8700,8700
CHN,65800,62400,59200,56000,53800,53100,51500,51100,50500,50000,49500,48900,48700,48500,48000,47100,45500,43900,41900,39500,37000,35000,32700,30300,28100,25900,23900,22000,20400,18800,17300,15900,14600,14600,14600,14600,14600,14600
