,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
AFG,0.11,0.085,0.083333333,0.085,0.07,0.0775,0.0985,0.1135,0.1685,0.2185,0.2525,0.2675,0.2375,0.2075,0.215,0.265,0.32,0.37,0.4025,0.38,0.355,0.3175,0.315,0.325,0.345,0.3975,0.43,0.475,0.515,0.5425,0.5675,0.59,0.615,0.615,0.615,0.615,0.615,0.615
AGO,0,0,0,0.26,0.065,0.1525,0.2625,0.3725,0.445,0.4975,0.5075,0.4925,0.4525,0.41,0.4075,0.4225,0.44,0.4975,0.575,0.62,0.62,0.5675,0.5525,0.5825,0.6225,0.68,0.6125,0.5475,0.6125,0.65,0.73,0.8425,0.8425,0.8425,0.8425,0.8425,0.8425,0.8425
ALB,0.9,0.9,0.91,0.9225,0.9225,0.9375,0.9525,0.96,0.96,0.96,0.96,0.94,0.9,0.8775,0.8275,0.8325,0.86,0.8725,0.92,0.9175,0.9025,0.91,0.91,0.9275,0.9475,0.95,0.955,0.9525,0.9625,0.9675,0.9675,0.9775,0.9825,0.9825,0.9825,0.9825,0.9825,0.9825
AND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.225,0.45,0.6925,0.935,0.9525,0.9725,0.97,0.9725,0.965,0.9475,0.9425,0.9425,0.9525,0.9725,0.985,0.985,0.985,0.985,0.985,0.985
ARE,0.34,0.38,0.39,0.42,0.42,0.4675,0.5125,0.5775,0.6275,0.68,0.725,0.7575,0.785,0.8125,0.8425,0.8675,0.8875,0.9,0.9125,0.925,0.94,0.95,0.9475,0.945,0.94,0.94,0.935,0.93,0.925,0.92,0.9225,0.9275,0.9325,0.9325,0.9325,0.9325,0.9325,0.9325
ARG,0.61,0.69,0.683333333,0.68,0.68,0.725,0.6675,0.7175,0.75,0.77,0.8575,0.8725,0.92,0.9325,0.9475,0.955,0.955,0.9725,0.9675,0.965,0.96,0.94,0.93,0.93,0.93,0.95,0.975,0.98,0.9725,0.965,0.965,0.9675,0.97,0.97,0.97,0.97,0.97,0.97
ARM,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2325,0.47,0.7075,0.9475,0.9375,0.93,0.9275,0.9175,0.925,0.9275,0.92,0.925,0.925,0.9275,0.93,0.925,0.93,0.935,0.9475,0.96,0.96,0.96,0.96,0.96,0.96
ATG,0,0,0,0.48,0.12,0.3025,0.475,0.675,0.7775,0.8325,0.8975,0.92,0.915,0.925,0.935,0.94,0.955,0.955,0.94,0.96,0.975,0.965,0.975,0.975,0.975,0.98,0.985,0.985,0.985,0.99,0.99,0.9875,0.9875,0.9875,0.9875,0.9875,0.9875,0.9875
AUS,0,0,0,0.68,0.17,0.34,0.51,0.68,0.68,0.7025,0.745,0.79,0.835,0.8575,0.86,0.86,0.8625,0.865,0.8625,0.8525,0.855,0.865,0.8825,0.91,0.925,0.93,0.935,0.9375,0.9375,0.94,0.94,0.94,0.94,0.94,0.94,0.94,0.94,0.94
AUT,0,0.25,0.25,0.25,0.1875,0.2625,0.3,0.3875,0.475,0.55,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6675,0.7425,0.7875,0.8,0.77,0.7425,0.7425,0.7775,0.775,0.765,0.77,0.77,0.7925,0.795,0.785,0.7775,0.7775,0.7775,0.7775,0.7775,0.7775
AZE,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13,0.2525,0.4025,0.5625,0.595,0.6375,0.655,0.665,0.67,0.675,0.6725,0.67,0.67,0.6675,0.665,0.6625,0.66,0.66,0.665,0.6675,0.6675,0.6675,0.6675,0.6675,0.6675
BDI,0,0.28,0.34,0.406666667,0.305,0.3725,0.3825,0.43,0.43,0.4775,0.58,0.6175,0.6675,0.725,0.715,0.635,0.65,0.675,0.695,0.76,0.735,0.7175,0.7075,0.725,0.74,0.755,0.79,0.8325,0.8625,0.8775,0.8875,0.8875,0.9,0.9,0.9,0.9,0.9,0.9
BEL,0,0.5,0.54,0.58,0.435,0.62,0.7,0.78,0.74,0.7425,0.725,0.7125,0.755,0.785,0.7725,0.755,0.8,0.765,0.78,0.785,0.7775,0.8,0.815,0.82,0.82,0.82,0.835,0.86,0.885,0.9125,0.93,0.9375,0.945,0.945,0.945,0.945,0.945,0.945
BEN,0,0,0,0,0,0,0.0575,0.1075,0.1725,0.2475,0.31,0.4575,0.5425,0.6425,0.69,0.6875,0.7,0.675,0.6725,0.645,0.655,0.68,0.685,0.6825,0.6725,0.655,0.6375,0.6375,0.65,0.6575,0.685,0.6925,0.6975,0.6975,0.6975,0.6975,0.6975,0.6975
BFA,0,0,0,0,0,0,0.095,0.195,0.2875,0.4175,0.4875,0.585,0.665,0.685,0.645,0.56,0.495,0.445,0.4225,0.37,0.3525,0.3725,0.4275,0.5275,0.6275,0.7025,0.755,0.815,0.86,0.9,0.925,0.935,0.9225,0.9225,0.9225,0.9225,0.9225,0.9225
BGD,0,0,0.01,0.01,0.005,0.0075,0.01,0.015,0.0275,0.0575,0.1875,0.3425,0.4975,0.6375,0.69,0.7225,0.75,0.75,0.745,0.73,0.71,0.7175,0.73,0.7125,0.7075,0.73,0.7725,0.84,0.905,0.9425,0.9525,0.9575,0.96,0.96,0.96,0.96,0.96,0.96
BGR,0.98,0.98,0.953333333,0.96,0.96,0.96,0.9625,0.985,0.9875,0.99,0.99,0.99,0.9875,0.97,0.9425,0.9275,0.9175,0.925,0.9375,0.9425,0.9475,0.9325,0.925,0.9175,0.9175,0.9325,0.9475,0.9575,0.9575,0.96,0.96,0.9625,0.96,0.96,0.96,0.96,0.96,0.96
BHR,0.45,0.475,0.496666667,0.52,0.52,0.57,0.64,0.7,0.7475,0.78,0.7975,0.82,0.845,0.8675,0.88,0.895,0.9125,0.9325,0.9425,0.9575,0.955,0.9625,0.9725,0.9725,0.985,0.9875,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99
BHS,0,0,0.65,0.655,0.3275,0.485,0.6825,0.7325,0.785,0.8225,0.8425,0.845,0.86,0.9,0.9025,0.9075,0.9,0.895,0.9075,0.9175,0.9075,0.91,0.9125,0.9175,0.9275,0.9175,0.895,0.88,0.895,0.8975,0.93,0.945,0.93,0.93,0.93,0.93,0.93,0.93
