iso,year,target,reached,reached_pct,intervention,region,country,campaigntype,extent,agemin,agemax,reachedtot,targettot,reachedpct_recalc,pop_u15,agespan,popdenom_forcoverage,coverage
JAM,1991,691506,585585,85,Meas,AMRO,Jamaica,CatchUp,National,0.75,14,585585,691506,84,831867,13.25,734815.9,79.7
BRA,1992,48475465,46502513,96,Meas,AMRO,Brazil,CatchUp,National,0.75,14,4.65E+07,4.85E+07,95,52931532,13.25,4.68E+07,96
CHL,1992,3790014,3768155,99,Meas,AMRO,Chile,CatchUp,National,0.75,14,3768155,3790014,99,4082514,13.25,3606221,99
PER,1992,7628000,5738248,75,Meas,AMRO,Peru,CatchUp,National,0.75,14,5738248,7628000,75,8482816,13.25,7493154,76.6
ARG,1993,9582733,9338924,97,Meas,AMRO,Argentina,CatchUp,National,0.75,14,9338924,9582733,97,9965630,13.25,8802973,97
COL,1993,11522479,11018479,96,Meas,AMRO,Colombia,CatchUp,National,0.75,14,1.10E+07,1.15E+07,95,12500802,13.25,1.10E+07,96
DOM,1993,2790967,2161411,77,Meas,AMRO,Dominican Republic,CatchUp,National,0.75,14,2161411,2790967,77,2940145,13.25,2597128,83.2
MEX,1993,29262371,25612008,88,Meas,AMRO,Mexico,CatchUp,National,0.75,14,2.56E+07,2.93E+07,87,32441582,13.25,2.87E+07,89.4
VNM,1993,224500,202000,90,Meas,WPRO,Viet Nam,FollowUp,National,0.75,1.92,202000,224500,89,26982400,1.17,2104627,9.6
BOL,1994,2940376,2763953,94,Meas,AMRO,Bolivia,CatchUp,National,0.75,14,2763953,2940376,93,2974661,13.25,2627617,94
GBR,1994,7100000,6532000,92,MR,EURO,UK,CatchUp,National,5,14,6532000,7100000,92,11201401,9,6720841,97.2
HTI,1994,2887037,2705559,94,Meas,AMRO,Haiti,CatchUp,National,0.75,14,2705559,2887037,93,3302673,13.25,2917361,92.7
KWT,1994,314084,295239,94,Meas,EMRO,Kuwait,CatchUp,National,6,18,295239,314084,94,540515,12,432412,68.3
MNG,1994,218034,163525,75,Meas,WPRO,Mongolia,CatchUp,National,3,7,163525,218034,74,895836,4,238889.6,68.5
OMN,1994,750000,705000,94,MR,EMRO,Oman,CatchUp,National,0.75,18,705000,750000,94,869471,15,869471,81.1
URY,1994,464560,442654,95,Meas,AMRO,Uruguay,CatchUp,National,0.75,14,442654,464560,95,805535,13.25,711555.9,62.2
VEN,1994,7442321,7425412,99,Meas,AMRO,Venezuela,CatchUp,National,0.75,14,7425412,7442321,99,7884621,13.25,6964749,99
AFG,1995,1755664,251263,14,Meas,EMRO,Afghanistan,,National,0.75,1.92,251263,1755664,14,8445360,1.17,658738.1,38.1
BRA,1995,8357172,6428096,77,Meas,AMRO,Brazil,FollowUp,National,1,4.92,6428096,8357172,76,52541230,3.92,1.37E+07,46.8
BTN,1995,,68622,99,Meas,SEARO,Bhutan,CatchUp,National,0.75,4.92,68622,0,,222832,4.17,61947.3,99
COL,1995,2286218,2046619,90,Meas,AMRO,Colombia,FollowUp,National,1,4,2046619,2286218,89,12698004,3,2539601,80.6
IRQ,1995,3227620,2388439,74,Meas,EMRO,Iraq,CatchUp,National,0.75,4.92,2388439,3227620,74,9224166,4.17,2564318,93.1
MDV,1995,24278,23555,97,Meas,SEARO,Maldives,CatchUp,National,5,14,23555,24278,97,113194,9,67916.4,34.7
MRT,1995,417805,396915,95,Meas,AFRO,Mauritania,FollowUp,National,0.75,1.92,396915,417805,95,989649,1.17,77192.62,95
PER,1995,2465277,2386027,97,Meas,AMRO,Peru,FollowUp,National,1,4,2386027,2465277,96,8653340,3,1730668,97
PRY,1995,1910045,1327142,70,Meas,AMRO,Paraguay,CatchUp,National,0.75,14,1327142,1910045,69,1938088,13.25,1711978,77.5
AFG,1996,542391,399260,74,Meas,EMRO,Afghanistan,,National,0.75,1.92,399260,542391,73,8798981,1.17,686320.5,58.2
CHL,1996,1440863,1440863,99,Meas,AMRO,Chile,FollowUp,National,1,4,1440863,1440863,100,4301466,3,860293.2,99
DZA,1996,2179830,2004138,92,Meas,AFRO,Algeria,FollowUp,National,1,4,2004138,2179830,91,11100323,3,2220065,90.3
GTM,1996,1500000,899110,60,Meas,AMRO,Guatemala,FollowUp,National,1,4,899110,1500000,59,4578524,3,915704.8,98.2
MDV,1996,77380,75059,97,Meas,SEARO,Maldives,CatchUp,National,5,14,75059,77380,97,113515,9,68109,97
MNG,1996,558187,541441,97,Meas,WPRO,Mongolia,CatchUp,National,0.75,11,541441,558187,96,873260,10.25,596727.7,90.7
NIC,1996,529306,513385,97,Meas,AMRO,Nicaragua,FollowUp,National,1,4,513385,529306,96,2065049,3,413009.8,97
PAN,1996,,117830,99,Meas,AMRO,Panama,FollowUp,National,1,4,117830,0,,899354,3,179870.8,65.5
ZAF,1996,3559252,3317400,93,Meas,AFRO,South Africa,CatchUp,Rollover,0.75,14,3317400,3559252,93,14948271,13.25,1.32E+07,25.1
BHS,1997,22928,17884,78,MMR,AMRO,Bahamas,FollowUp,National,1,4,17884,22928,78,89424,3,17884.8,78
BRA,1997,10285636,10277090,99,Meas,AMRO,Brazil,FollowUp,Subnational,0.5,4.92,1.03E+07,1.03E+07,99,52122302,4.42,1.54E+07,66.9
BWA,1997,347265,347265,99,Meas,AFRO,Botswana,CatchUp,Rollover,0.75,14,347265,347265,100,653288,13.25,577071.1,60.2
CRI,1997,324273,282118,87,MMR,AMRO,Costa Rica,FollowUp,National,1,4,282118,324273,87,1224774,3,244954.8,87
FJI,1997,251109,204604,81,Meas,WPRO,Fiji,CatchUp,National,0.75,14,204604,251109,81,273812,13.25,241867.3,84.6
JOR,1997,1101263,1090250,99,Meas,EMRO,Jordan,CatchUp,National,6,15,1090250,1101263,98,1838558,9,1103135,98.8
NAM,1997,701862,680806,97,Meas,AFRO,Namibia,CatchUp,National,0.75,14,680806,701862,96,715007,13.25,631589.5,97
NIU,1997,796,790,99,MMR,WPRO,Niue,CatchUp,National,0.75,15,790,796,99,748,14.25,710.6,99
NRU,1997,2540,3079,99,Meas,WPRO,Nauru,CatchUp,National,0.75,14,3079,2540,121,3485,13.25,3078.417,99
PER,1997,7900000,7500000,95,Meas,AMRO,Peru,CatchUp,National,1,14,7500000,7900000,94,8754635,13,7587351,98.8
PNG,1997,679311,570621,84,Meas,WPRO,Papua New Guinea,CatchUp,National,0.5,4.92,570621,679311,83,2056417,4.42,605957.6,94.2
SLB,1997,153757,124611,81,Meas,WPRO,Solomon Islands,CatchUp,National,0.75,15,124611,153757,81,164419,14.25,156198,79.8
SUR,1997,45000,44100,98,Meas,AMRO,Suriname,FollowUp,National,1,6,44100,45000,98,141472,5,47157.33,93.5
ZAF,1997,8604823,7142003,83,Meas,AFRO,South Africa,CatchUp,Rollover,5,14,7142003,8604823,82,14992297,9,8995378,79.4
ARE,1998,168435,154960,92,MMR,EMRO,UAE,FollowUp,National,0.75,4.92,154960,168435,91,740216,4.17,205780,75.3
AUS,1998,1780000,1335000,75,Meas,WPRO,Australia,CatchUp,National,5,12,1335000,1780000,75,3938835,7,1838123,72.6
BHR,1998,131023,127092,97,MR,EMRO,Bahrain,CatchUp,National,6,18,127092,131023,96,179496,12,143596.8,88.5
BWA,1998,234960,246420,99,Meas,AFRO,Botswana,CatchUp,Rollover,0.75,14,246420,234960,104,655237,13.25,578792.7,42.6
COK,1998,6524,5548,85,Meas,WPRO,Cook Islands,CatchUp,National,0.75,14,5548,6524,85,6499,13.25,5740.783,96.6
DOM,1998,830517,822212,99,Meas,AMRO,Dominican Republic,FollowUp,National,0.75,4.92,822212,830517,99,3057197,4.17,849900.8,96.7
KIR,1998,27297,23507,86,Meas,WPRO,Kiribati,CatchUp,National,0.75,14,23507,27297,86,27750,13.25,24512.5,95.9
KWT,1998,166467,154814,93,MMR,EMRO,Kuwait,FollowUp,National,6,11,154814,166467,92,522474,5,174158,88.9
MWI,1998,5284445,4684440,89,Meas,AFRO,Malawi,SpeedUp,National,9,14,4684440,5284445,88,5024607,5,1674869,89
NAM,1998,444783,434548,98,Meas,AFRO,Namibia,FollowUp,National,0.75,4.92,434548,444783,97,726639,4.17,202005.6,98
NIC,1998,,560518,98,Meas,AMRO,Nicaragua,FollowUp,National,1,4,560518,0,,2082761,3,416552.2,98
PHL,1998,27459600,25768524,94,Meas,WPRO,Philippines,CatchUp,National,0.75,15,2.58E+07,2.75E+07,93,28719238,14.25,2.73E+07,94.4
PRY,1998,773713,765976,99,Meas,AMRO,Paraguay,FollowUp,National,1,4,765976,773713,99,2007126,3,401425.2,99
ROU,1998,2301000,2132000,93,MR,EURO,Romania,SpeedUp,National,7,14,2132000,2301000,92,4300440,7,2006872,93
SAU,1998,1691275,1944966,99,MMR,EMRO,Saudi Arabia,SpeedUp,National,12,18,1944966,1691275,114,7801976,6,3120791,62.3
SLB,1998,153757,124543,81,Meas,WPRO,Solomon Islands,CatchUp,National,0.75,14,124543,153757,80,167734,13.25,148165,84.1
SWZ,1998,147545,146626,99,Meas,AFRO,Swaziland,SpeedUp,National,9,14,146626,147545,99,476429,5,158809.7,92.3
SYR,1998,6703790,6636752,99,MR,EMRO,Syria,CatchUp,National,0.75,15,6636752,6703790,98,6654787,14.25,6322048,99
TON,1998,35458,33425,94,Meas,WPRO,Tonga,SpeedUp,National,9,14,33425,35458,94,38610,5,12870,94
TUN,1998,1846567,1823181,99,Meas,EMRO,Tunisia,SpeedUp,National,7,16,1823181,1846567,98,2945637,9,1767382,99
TUV,1998,3033,3033,99,Meas,WPRO,Tuvalu,CatchUp,National,0.75,14,3033,3033,100,3432,13.25,3031.6,99
UGA,1998,378760,300346,79,Meas,AFRO,Uganda,FollowUp,Subnational,0.5,4.92,300346,378760,79,11329268,4.42,3338358,9
URY,1998,283124,268967,95,Meas,AMRO,Uruguay,FollowUp,National,1,4,268967,283124,94,813666,3,162733.2,95
VEN,1998,2223210,1934192,87,Meas,AMRO,Venezuela,FollowUp,National,1,4,1934192,2223210,86,8141589,3,1628318,87
VUT,1998,77850,74329,95,Meas,WPRO,Vanuatu,CatchUp,National,0.75,14,74329,77850,95,78011,13.25,68909.72,95
WSM,1998,74470,72344,97,Meas,WPRO,Samoa,CatchUp,National,0.75,14,72344,74470,97,69285,13.25,61201.75,97
ZWE,1998,5279248,4929475,93,Meas,AFRO,Zimbabwe,CatchUp,National,0.75,14,4929475,5279248,93,5266297,13.25,4651896,93
ARE,1999,187150,168435,90,MMR,EMRO,UAE,CatchUp,National,6,18,168435,187150,90,757492,12,605993.6,27.8
BFA,1999,1736332,1894180,99,Meas,AFRO,Burkina Faso,FollowUp,National,0.75,4.92,1894180,1736332,109,5321904,4.17,1479489,99
BHR,1999,70000,63000,90,MMR,EMRO,Bahrain,FollowUp,National,1,7,63000,70000,90,180513,6,72205.2,87.3
HTI,1999,,1300000,75,Meas,AMRO,Haiti,CatchUp,National,0.5,14,1300000,0,,3463600,13.5,3117240,41.7
JOR,1999,399335,251581,63,Meas,EMRO,Jordan,FollowUp,National,4,6,251581,399335,62,1887072,2,251609.6,63
LSO,1999,266329,159933,60,Meas,AFRO,Lesotho,CatchUp,Rollover,0.75,4.92,159933,266329,60,788558,4.17,219219.1,73
MRT,1999,138520,119825,87,Meas,AFRO,Mauritania,FollowUp,National,0.75,1.92,119825,138520,86,1076729,1.17,83984.86,87
PRK,1999,427280,427280,99,Meas,SEARO,DPRKorea,CatchUp,National,0.75,1.92,427280,427280,100,5873187,1.17,458108.6,93.3
STP,1999,60855,58390,94,Meas,AFRO,Sao Tome & Principe,CatchUp,National,0.75,14,58390,60855,95,58634,13.25,51793.37,94
SWZ,1999,276732,246291,89,Meas,AFRO,Swaziland,CatchUp,National,5,14,246291,276732,88,479293,9,287575.8,85.6
ALB,2000,876652,867460,98,MR,EURO,Albania,CatchUp,National,1,14,867460,876652,98,932232,13,807934.4,98
BRA,2000,,16463803,99,Meas,AMRO,Brazil,FollowUp,National,1,4,1.65E+07,0,,51558156,3,1.03E+07,99
ERI,2000,177855,159241,89.5,Meas,AFRO,Eritrea,FollowUp,Rollover,0.75,4.92,159241,177855,89,1635220,4.17,454591.2,35
ETH,2000,6826147,5956464,87,Meas,AFRO,Ethiopia,FollowUp,Subnational,0.75,4.92,5956464,6826147,87,30031829,4.17,8348849,71.3
HND,2000,371109,374494,99,Meas,AMRO,Honduras,FollowUp,National,2,4,374494,371109,100,2642547,2,352339.6,99
IDN,2000,6665950,6341407,95.1,Meas,SEARO,Indonesia,CatchUp,Rollover,6,12,6341407,6665950,95,62268420,6,2.49E+07,25.5
LAO,2000,64040,60838,95,Meas,WPRO,Laos,FollowUp,Rollover,0.75,4.92,60838,64040,95,2326812,4.17,646853.8,9.4
LBN,2000,1139648,1059873,93,MR,EMRO,Lebanon,CatchUp,National,1,15,1059873,1139648,93,1150093,14,1073420,98.7
LSO,2000,624994,469005,75,Meas,AFRO,Lesotho,CatchUp,National,5,14,469005,624994,75,792802,9,475681.2,98.6
MNG,2000,300000,291000,97,Meas,WPRO,Mongolia,FollowUp,National,0.75,7,291000,300000,97,831063,6.25,346276.3,84
NAM,2000,285504,257590,80,Meas,AFRO,Namibia,FollowUp,National,0.75,4.92,257590,285504,90,747235,4.17,207731.3,80
NIC,2000,478537,463648,97,MMR,AMRO,Nicaragua,FollowUp,National,2,4,463648,478537,96,2086727,2,278230.3,97
QAT,2000,85175,80065,94,MR,EMRO,Qatar,CatchUp,National,6,16,80065,85175,94,158543,10,105695.3,75.8
UGA,2000,2626730,2176613,82,Meas,AFRO,Uganda,FollowUp,Subnational,0.75,4.92,2176613,2626730,82,12079466,4.17,3358092,64.8
ZAF,2000,3384890,3005319,89,Meas,AFRO,South Africa,FollowUp,National,0.75,4.92,3005319,3384890,88,15077575,4.17,4191566,71.7
ARE,2001,950000,893000,94,MMR,EMRO,UAE,CatchUp,National,0.75,18,893000,950000,94,779216,15,779216,94
BDI,2001,2820525,1835556,65,Meas,AFRO,Burundi,CatchUp,Rollover,0.75,15,1835556,2820525,65,3005078,14.25,2854824,64.3
