iso,first year,first year
AFG,1,1
AGO,1,1
ALB,3,3
AND,20,20
ARE,1,1
ARG,1,1
ARM,11,11
ATG,1,1
AUS,9,9
AUT,1,1
AZE,11,11
BDI,1,1
BEL,9,9
BEN,1,1
BFA,1,1
BGD,1,1
BGR,1,1
BHR,1,1
BHS,1,1
BIH,11,11
BLR,11,11
BLZ,1,1
BOL,1,1
BRA,1,1
BRB,1,1
BRN,1,1
BTN,1,1
BWA,1,1
CAF,1,1
CAN,1,1
CHE,8,8
CHL,1,1
CHN,1,1
CIV,1,1
CMR,2,2
COD,1,1
COG,1,1
COK,1,1
COL,1,1
COM,1,1
CPV,1,1
CRI,1,1
CUB,1,1
CYP,1,1
CZE,11,11
DEU,1,1
DJI,2,2
DMA,1,1
DNK,1,1
DOM,1,1
DZA,1,1
ECU,1,1
EGY,1,1
ERI,14,14
ESP,1,1
EST,11,11
ETH,1,1
FIN,1,1
FJI,1,1
FRA,1,1
FSM,8,8
GAB,1,1
GBR,1,1
GEO,12,12
GHA,1,1
GIN,1,1
GMB,1,1
GNB,1,1
GNQ,5,5
GRC,1,1
GRD,1,1
GTM,1,1
GUY,1,1
HND,1,1
HRV,11,11
HTI,1,1
HUN,1,1
IDN,10,10
IND,1,1
IRL,1,1
IRN,1,1
IRQ,1,1
ISL,1,1
ISR,1,1
ITA,1,1
JAM,1,1
JOR,1,1
JPN,1,1
KAZ,11,11
KEN,1,1
KGZ,11,11
KHM,1,1
KIR,1,1
KNA,1,1
KOR,1,1
KWT,1,1
LAO,3,3
LBN,14,14
LBR,1,1
LBY,1,1
LCA,1,1
LKA,1,1
LSO,1,1
LTU,12,12
LUX,1,1
LVA,11,11
MAR,1,1
MCO,2,2
MDA,11,11
MDG,1,1
MDV,2,2
MEX,1,1
MHL,1,1
MKD,12,12
MLI,1,1
MLT,1,1
MMR,1,1
MNE,1,1
MNG,1,1
MOZ,1,1
MRT,1,1
MUS,1,1
MWI,1,1
MYS,1,1
NAM,8,8
NER,1,1
NGA,1,1
NIC,1,1
NIU,1,1
NLD,1,1
NOR,1,1
NPL,1,1
NRU,1,1
NZL,14,14
OMN,1,1
PAK,1,1
PAN,1,1
PER,1,1
PHL,1,1
PLW,1,1
PNG,1,1
POL,1,1
PRK,1,1
PRT,8,8
PRY,1,1
QAT,1,1
ROU,1,1
RUS,11,11
RWA,1,1
SAU,1,1
SDN,1,1
SEN,1,1
SGP,2,2
SLB,14,14
SLE,1,1
SLV,1,1
SMR,11,11
SOM,4,4
SRB,1,1
STP,1,1
SUR,1,1
SVK,11,11
SVN,12,12
SWE,1,1
SWZ,2,2
SYC,1,1
SYR,1,1
TCD,2,2
TGO,1,1
THA,1,1
TJK,11,11
TKM,11,11
TLS,1,1
TON,1,1
TTO,1,1
TUN,1,1
TUR,1,1
TUV,1,1
TZA,1,1
UGA,1,1
UKR,11,11
URY,1,1
USA,1,1
UZB,11,11
VCT,1,1
VEN,1,1
VNM,1,1
VUT,1,1
WSM,1,1
YEM,1,1
ZAF,1,1
ZMB,1,1
ZWE,1,1
