iso,year,comment
BOL,1981,0
DJI,1981,0
HUN,1981,0
IND,1981,0
IRQ,1981,necessary as an outbreak year?
JAM,1981,0
JPN,1981,0
KWT,1981,0
MDV,1981,0
OMN,1981,0
SLV,1981,0
SUR,1981,0
URY,1981,0
VEN,1981,0
ZMB,1981,necessary as an outbreak year?
CUB,1982,0
EGY,1982,0
GRD,1982,0
ISR,1982,0
KHM,1982,necessary as an outbreak year?
KOR,1982,0
LCA,1982,0
MLT,1982,0
ROU,1982,necessary as an outbreak year?
SUR,1982,0
SWZ,1982,necessary as an outbreak year?
VCT,1982,0
BHS,1983,0
ESP,1983,0
GRC,1983,0
KNA,1983,0
TUR,1983,0
UGA,1983,0
ZWE,1983,necessary as an outbreak year?
ARG,1984,0
BWA,1984,0
ECU,1984,0
MNG,1984,0
NGA,1984,necessary as an outbreak year?
POL,1984,0
SGP,1984,0
STP,1984,0
VUT,1984,necessary as an outbreak year?
CPV,1985,0
ETH,1985,0
GHA,1985,necessary as an outbreak year?
IRL,1985,0
KIR,1985,necessary as an outbreak year?
MDV,1985,0
MLI,1985,0
NER,1985,necessary as an outbreak year?
NGA,1985,necessary as an outbreak year?
WSM,1985,0
BRA,1986,0
CAN,1986,0
GMB,1986,0
MLT,1986,0
NIC,1986,0
PNG,1986,0
QAT,1986,0
RWA,1986,necessary as an outbreak year?
SYR,1986,0
BFA,1987,necessary as an outbreak year?
CHE,1987,0
CIV,1987,necessary as an outbreak year?
COL,1987,0
HTI,1987,0
NAM,1987,0
PRY,1987,0
BEL,1988,0
CHE,1988,0
CHL,1988,0
ECU,1988,0
GNQ,1988,0
GRC,1988,0
GUY,1988,0
HUN,1988,0
ITA,1988,0
JOR,1988,0
NLD,1988,0
ZWE,1988,necessary as an outbreak year?
BEL,1989,0
BGD,1989,0
CAN,1989,0
COK,1989,0
FIN,1989,0
IDN,1989,necessary as an outbreak year?
JAM,1989,0
PRT,1989,0
SLB,1989,0
USA,1989,0
ZWE,1989,necessary as an outbreak year?
ARM,1990,0
CZE,1990,0
GIN,1990,0
GTM,1990,0
HND,1990,0
JAM,1990,0
MDA,1990,0
MEX,1990,0
NGA,1990,necessary as an outbreak year?
POL,1990,0
TJK,1990,necessary as an outbreak year?
USA,1990,0
ARG,1991,0
AZE,1991,necessary as an outbreak year?
CRI,1991,0
FRA,1991,0
GNB,1991,necessary as an outbreak year?
MLI,1991,necessary as an outbreak year?
NER,1991,necessary as an outbreak year?
URY,1991,0
VUT,1991,necessary as an outbreak year?
BFA,1992,necessary as an outbreak year?
BGR,1992,0
FJI,1992,necessary as an outbreak year?
FRA,1992,0
GAB,1992,necessary as an outbreak year?
GHA,1992,necessary as an outbreak year?
KIR,1992,0
LBR,1992,0
NIC,1992,0
PER,1992,0
SAU,1992,necessary as an outbreak year?
TUN,1992,0
ZAF,1992,0
BLR,1993,0
BWA,1993,necessary as an outbreak year?
IRL,1993,0
KGZ,1993,0
LBR,1993,0
MKD,1993,0
PRY,1993,0
ROU,1993,necessary as an outbreak year?
RUS,1993,0
SRB,1993,0
SVK,1993,0
SWZ,1993,0
UKR,1993,0
ZWE,1993,necessary as an outbreak year?
AZE,1994,necessary as an outbreak year?
GEO,1994,0
ISR,1994,0
KOR,1994,0
MDA,1994,0
PRT,1994,0
THA,1994,necessary as an outbreak year?
ZWE,1994,necessary as an outbreak year?
BEN,1995,necessary as an outbreak year?
CIV,1995,necessary as an outbreak year?
HRV,1995,0
MDV,1995,0
RWA,1995,necessary as an outbreak year?
ARM,1996,0
BFA,1996,necessary as an outbreak year?
CIV,1996,necessary as an outbreak year?
ERI,1996,0
GRC,1996,0
MLI,1996,necessary as an outbreak year?
ZWE,1996,necessary as an outbreak year?
BEN,1997,necessary as an outbreak year?
BIH,1997,0
BRA,1997,0
BWA,1997,necessary as an outbreak year?
CHE,1997,0
CPV,1997,0
FJI,1997,necessary as an outbreak year?
FRA,1997,0
GMB,1997,0
JOR,1997,0
NZL,1997,0
PHL,1997,necessary as an outbreak year?
ROU,1997,necessary as an outbreak year?
SGP,1997,0
SVK,1997,0
SYR,1997,0
TJK,1997,necessary as an outbreak year?
TON,1997,0
ARG,1998,0
BIH,1998,0
BOL,1998,0
HRV,1998,0
IRQ,1998,0
KGZ,1998,0
KIR,1998,necessary as an outbreak year?
LAO,1998,necessary as an outbreak year?
LBN,1998,0
MLI,1998,necessary as an outbreak year?
SVK,1998,0
SYC,1998,0
SYR,1998,0
TJK,1998,necessary as an outbreak year?
VNM,1998,necessary as an outbreak year?
BOL,1999,0
BTN,1999,0
ETH,1999,necessary as an outbreak year?
KHM,1999,0
MRT,1999,necessary as an outbreak year?
NGA,1999,necessary as an outbreak year?
NLD,1999,0
UZB,1999,necessary as an outbreak year?
VNM,1999,necessary as an outbreak year?
YEM,1999,0
BDI,2000,necessary as an outbreak year?
CAF,2000,necessary as an outbreak year?
GIN,2000,necessary as an outbreak year?
HTI,2000,0
KHM,2000,0
KOR,2000,0
LBR,2000,0
LKA,2000,0
MDG,2000,necessary as an outbreak year?
NGA,2000,necessary as an outbreak year?
PNG,2000,necessary as an outbreak year?
SLE,2000,0
VNM,2000,necessary as an outbreak year?
CAF,2001,necessary as an outbreak year?
CMR,2001,necessary as an outbreak year?
DEU,2001,0
GAB,2001,0
GNQ,2001,necessary as an outbreak year?
KOR,2001,0
MNG,2001,0
NGA,2001,necessary as an outbreak year?
SEN,2001,necessary as an outbreak year? 
TCD,2001,necessary as an outbreak year?
VNM,2001,necessary as an outbreak year?
AZE,2002,necessary as an outbreak year?
DEU,2002,0
ERI,2002,necessary as an outbreak year?
ITA,2002,0
JPN,2002,0
LBY,2002,0
MDA,2002,0
PNG,2002,0
VEN,2002,0
COG,2003,necessary as an outbreak year?
DZA,2003,0
ERI,2003,necessary as an outbreak year?
IRN,2003,necessary as an outbreak year?
ITA,2003,0
MDG,2003,necessary as an outbreak year?
MOZ,2003,0
MRT,2003,necessary as an outbreak year?
MUS,2003,0
SYR,2003,necessary as an outbreak year?
TCD,2003,necessary as an outbreak year?
TJK,2003,necessary as an outbreak year?
COG,2004,necessary as an outbreak year?
GEO,2004,0
GNB,2004,0
MDG,2004,necessary as an outbreak year?
MRT,2004,necessary as an outbreak year?
MWI,2004,necessary as an outbreak year?
MYS,2004,0
SDN,2004,0
ARM,2005,0
BGD,2005,0
CHN,2005,0
COD,2005,0
KAZ,2005,0
MDV,2005,0
ROU,2005,necessary as an outbreak year?
CHN,2006,0
COD,2006,0
PAK,2006,necessary as an outbreak year?
UKR,2006,0
CHN,2007,0
COD,2007,0
SAU,2007,necessary as an outbreak year?
CHN,2008,0
ISR,2008,0
BFA,2009,0
BGR,2009,should be 2010?
IRQ,2009,0
NAM,2009,0
ZAF,2009,0
LSO,2010,0
MWI,2010,0
NAM,2010,0
ZAF,2010,0
COD,2011,0
MMR,2011,necessary as an outbreak year?
NGA,2011,added by robert an d peter - necessary?
SDN,2011,0
SOM,2011,0
BFA,2012,defined by MF
BGD,2012,added by robert an d peter
COD,2012,defined by MF 
IDN,2012,added by robert an d peter - necessary?
MMR,2012,added by robert an d peter - necessary?
NGA,2012,added by robert an d peter - necessary?
PAK,2012,defined by MF
SDN,2012,defined by MF
SOM,2012,defined by MF 
