"","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012"
"AFG",1930237.68353008,964774.58005115,892218.058287712,761689.961529678,676445.22935765,386294.447375895,483680.128455248,236008.845291205,114303.963395889,112212.702144648,90538.4895266311,257185.500900034,394914.55861459,439297.651538897,476571.402241604,386042.285287766,319055.641826918,180596.653268029,207330.838823904,320478.094772226,415540.301980519,208152.727596247,13795.1896974822,20996.926514739,73025.5416240829,108245.987391907,51288.6985606118,67066.805362903,132812.505934736,94804.1857654678,140225.183592213,128974.296163713
"AGO",430565.273795037,572505.811857355,420149.392331558,425056.978182153,428510.041443436,291478.141652148,248899.327232375,404954.116411493,368688.861603388,559861.205830287,345552.170000988,312533.810958009,187583.99399708,122644.019568393,54409.6032923879,31064.8500628594,165048.408093934,79661.0447768933,45385.1154722351,58834.0087706224,170445.452442509,221465.336756038,78290.5359381526,1305.98908318576,15860.2342112857,32126.5879787375,14587.3621900135,17473.1201087413,52073.7748043502,18029.7278753619,30563.8036967528,68145.1695928573
"ALB",NA,NA,1418.35625367552,2291.76390868901,2764.06552100475,2987.24707900285,136034,3161.96233199886,325545.480499703,4684.30615154252,5339.18798484606,4786.28231505273,5676.6375409165,4479.32941124129,4018.4142001504,5138.20081934359,6668.09140258131,6794.4638352464,5681.44589924801,4391.25220859284,58.5103184040061,177.553370906743,339.465469927116,478.901244062011,587.165540095618,754.837401113963,807.753824711908,3031.7264490606,1819.43317811949,1366.10878968412,4472.74565453548,2235.4907116565
"AND",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,NA,10,10,25,5,0,0,0,0,0,0,0,0,0,0
"ARE",14100,8455,10525,8745,12000,10790,14565,5935,5340,5935,5740,5315,3725,2590,3355,2125,1215,1480,585,345,150,265,210,110,145,NA,NA,275,NA,435,NA,660
"ARG",87910,22160,35530,158755,46200,32240,40120,23755,20045,9835,210465,102755,25435,670,3275,295,625,51145,1565,30,0,0,0,0,0,0,0,0,15,85,15,10
"ARM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7142.37136100485,7019.19698634893,6908.00568543948,6793.06623632916,6644.49286151416,6785.59530362157,6608.89366678753,6386.7905449553,6153.82428357666,5929.11002559814,5707.20784549242,5611.99589719954,5408.29269686466,5260.64165279932,5484.48532057987,5326.34009970857,5151.54320272363,32.6024172032143,36.0699942367374,32.8720473327671,35.6521202914855,38.5689324981881
"ATG",1235,0,50,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AUS",NA,NA,NA,NA,NA,NA,NA,1240,845,4400,6900,7125,22680,24475,5990,2490,4265,1635,1175,540,705,160,455,350,50,NA,55,325,520,350,950,995
"AUT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,300,NA,NA,NA,0,0,5,NA,0,NA,450,75,45,115,100,2240,245,260,340,0
"AZE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,286911.311948209,36859.7415306922,67768.1730320889,315111.902857145,30566.4729072263,21717.0670331703,36981.9609010202,138097.605050735,55021.9070199941,24131.1851687339,27507.1630038494,262453.702644587,98588.5918777755,40405.0489180714,58059.5787449444,18340.0477518504,272.387835158073,962.636875655659,3645.65743062153,2890.44340154707,2945.54164519823,2993.27411696444
"BDI",298522.640956003,186947.705643183,225876.946357941,130430.075988745,163138.786192218,177623.11112126,106521.18747461,147772.1305703,124330.222907504,64846.0224585239,50203.9143065106,99874.3134300484,105984.014319022,51198.4545148761,65655.5420960239,71744.8806843361,23496.1131637073,17100.586074806,19167.0710139323,85046.2073523372,96615.0012973783,7882.14335425226,710.315053584372,3792.16687573023,5174.87233504651,7180.05190781106,2119.33911675534,5393.67616184993,6692.54841558694,3570.12148436728,3541.45960029124,4705.23476799075
"BEL",NA,NA,NA,NA,NA,NA,NA,238080,405220,NA,36080,47825,36865,56730,53250,36105,19345,0,NA,NA,415,NA,220,305,130,75,320,490,165,200,2880,0
"BEN",253304.597816229,216201.830301878,214904.398077046,247046.26111377,243909.258898001,136821.21131142,248692.86628955,104410.791863217,66320.5639043269,69284.9744064994,98160.4503224645,60340.1208631395,74801.259648872,143091.767592301,194426.465066209,50858.3482296198,191146.024305274,42497.4613307086,49315.6614293999,77087.772859559,106399.972901917,33308.7638522438,19678.0094480072,3961.63425708588,10272.4273244031,4672.0538924541,11069.0594648155,21506.5731212969,24268.3154535044,19152.2701146611,17824.8845443196,6391.96939734545
