"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32"
"AFG",90647.4347131171,46841.7901634864,43859.6290695658,38113.0676342388,34476.748986116,21369.3154423688,26447.0523673752,14604.1528216917,8669.85234698921,8978.79663975207,7693.03083717345,42914.2491467142,55563.1528391696,56610.6879862095,57567.6910478228,49927.4401529823,45014.4884755799,11399.1334062332,13090.4421723773,18360.94310915,22660.5031729279,12504.8928553084,11552.2253558463,9161.74326271023,8317.85932749481,9550.21883135167,9193.00529615666,10720.8955374256,11736.4691135167,9970.90356847544,11919.6745752799,9598.32229737924
"AGO",13705.7161635701,16918.3488382209,12645.7366179922,12864.0989026429,12948.2884447548,9074.06930157237,7989.85864688704,12494.5639612872,11282.3166485915,16587.3172485239,10496.2380188922,9674.09184379578,6112.90851238137,4309.91849822646,2270.6252329809,1697.13504979317,6551.34100613052,3047.82831740304,1730.97548779413,2198.73329402736,6271.93161325846,7352.86500292241,2902.64852313507,1487.63446948885,1283.80502258961,1562.17003782483,2143.04878405052,1300.26707397834,2411.45706765369,1831.767387771,1817.42580838199,3801.35497268002
"ALB",NA,NA,9.36613793397711,8.42203204895097,8.28701042423653,8.33746846268677,8.30910243803974,8.31043329713822,191.057912080062,68.5156030849393,8.89618551777134,8.72956642925341,9.0522373389193,10.5835319798244,10.3351049245035,9.59827941641181,10.9479455162195,10.4968613703118,9.46613640871053,9.0626537369716,50.1892405699732,31.0000408600228,19.6355733333975,15.8048531955541,14.0124083083161,12.945679462501,11.9793443750703,68.5534197008406,8.76762248608719,9.52878232126109,69.7140078196336,8.42608173644448
"AND",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ARE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ARG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ARM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.0844702022267,65.7301229141005,86.8326022723998,105.706895210045,68.0458118474796,42.1605509714872,45.6567647389424,48.8056996827796,51.5812637606303,53.9940845771763,56.0174466250833,58.1503402702884,59.6340463088461,61.8415919916828,63.7135886197091,65.0201031815468,66.1869833071332,8.15114167157627,15.4717352150533,20.1172192718062,27.1624259539002,33.6472371894578
"ATG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AUS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AUT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
