"","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012"
"AFG",2163181.59656357,1117172.72160886,1044702.65202026,910034.904145581,821823.284141732,509197.272925501,630626.111389571,348196.291091914,206649.942105082,213684.562939976,183225.435463145,1023195.74518771,1323738.92856655,1349504.756435,1372412.79359384,1189961.76369683,1073407.79367474,271754.253059161,311773.650784561,438177.347921918,539890.647236826,298138.122876596,275335.628460039,218249.695047366,198327.930197546,227576.061328054,218924.018939159,255282.290201863,280055.968651016,237654.87354877,284019.178144843,274997.438459631
"AGO",511297.985560701,630707.752001591,471685.755369756,480200.177966649,484309.901616573,339179.478140214,298511.303365169,466992.868686545,421052.646377375,620728.216805734,391992.183989446,361409.424761912,228742.210835675,161036.411563385,84900.564606877,63513.9907945786,245233.687845532,113867.08128971,75878.8702901427,96361.2442756438,234294.991239605,274439.077724643,108445.831572207,65307.3866586282,56305.1405379448,68385.1275614641,80065.7120740962,56958.5712906662,105670.296554606,80368.980458558,79669.0678019683,166605.058183083
"ALB",NA,NA,16798.2348925908,15079.2210756949,14871.8729030977,14851.9049271973,14855.731767545,14861.3309444511,342700.55021965,122966.704286203,15928.726951521,15550.6837957433,16220.9201197628,15394.8660397895,15135.7206539602,17272.4470127224,19607.3688249904,18807.0040988328,16938.4531463757,16213.9268590938,89811.3776483909,55674.5497043282,35099.8865186053,28297.5837353038,25072.4308389455,23201.5106095635,21429.0997956598,122757.888952946,15646.2579396936,17044.1284526513,124616.190916595,15118.3760721738
"AND",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,NA,40,40,100,20,0,0,0,0,0,0,0,0,0,0
"ARE",56400,33820,42100,34980,48000,43160,58260,23740,21360,23740,22960,21260,14900,10360,13420,8500,4860,5920,2340,1380,600,1060,840,440,580,NA,NA,1100,NA,1740,NA,2640
"ARG",351640,88640,142120,635020,184800,128960,160480,95020,80180,39340,841860,411020,101740,2680,13100,1180,2500,204580,6260,120,0,0,0,0,0,0,0,0,60,340,60,40
"ARM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70613.1109079539,110755.731945567,145059.292030052,175258.46526882,201620.034836729,225867.056375283,245232.237407101,261689.353061566,276064.118169348,289001.357292527,300676.092760963,312007.002591112,321361.092902224,330380.661243308,340914.188294052,347770.970791918,354187.023710293,43682.9039473579,82903.224080387,107996.842895178,145041.118423391,180862.709113309
"ATG",4940,0,200,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AUS",NA,NA,NA,NA,NA,NA,NA,4960,3380,17600,27600,28500,90720,97900,23960,9960,17060,6540,4700,2160,2820,640,1820,1400,200,NA,220,1300,2080,1400,3800,3980
"AUT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1200,NA,NA,NA,0,0,20,NA,0,NA,1800,300,180,460,400,8960,980,1040,1360,0
