"","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012"
"AFG",77767.5,50800,47020,40497.5,36142.5,20267.5,25892.5,11402.5,2925,4022.5,1980,NA,NA,NA,NA,NA,NA,5512.5,9022.5,16330,21905,6215,1995,1165,3240,4975,2852.5,3997.5,7152.5,4972.5,7532.5,6967.5
"AGO",49285,75167.5,56472.5,56712.5,57055,38950,33420,52522.5,49550,72672.5,45955,41930,23182.5,13700,1587.5,627.5,20457.5,6440,875,5547.5,22615,29862.5,2990,72.5,645,1912.5,2535,662.5,7017.5,2975,3622.5,11145
"ALB",NA,7.5,42.5,0,0,0,0,0,340085,NA,0,0,17.5,72.5,37.5,3010,5965,4752.5,1992.5,1655,45,40,20,17.5,15,170,55,NA,0,25,NA,0
"AND",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.5,NA,5,5,12.5,2.5,0,0,0,0,0,0,0,0,0,0
"ARE",7050,4227.5,5262.5,4372.5,6000,5395,7282.5,2967.5,2670,2967.5,2870,2657.5,1862.5,1295,1677.5,1062.5,607.5,740,292.5,172.5,75,132.5,105,55,72.5,NA,NA,137.5,NA,217.5,NA,330
"ARG",43955,11080,17765,79377.5,23100,16120,20060,11877.5,10022.5,4917.5,105232.5,51377.5,12717.5,335,1637.5,147.5,312.5,25572.5,782.5,15,0,0,0,0,0,0,0,0,7.5,42.5,7.5,5
"ARM",NA,NA,NA,NA,NA,NA,NA,NA,NA,2197.5,480,115,845,372.5,467.5,5067.5,2005,130,102.5,37.5,172.5,100,10,4457.5,5702.5,342.5,2.5,0,0,5,0,0
"ATG",617.5,0,25,2.5,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AUS",NA,NA,NA,NA,NA,NA,NA,620,422.5,2200,3450,3562.5,11340,12237.5,2995,1245,2132.5,817.5,587.5,270,352.5,80,227.5,175,25,NA,27.5,162.5,260,175,475,497.5
"AUT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,150,NA,NA,NA,0,0,2.5,NA,0,NA,225,37.5,22.5,57.5,50,1120,122.5,130,170,0
"AZE",NA,NA,NA,NA,NA,NA,NA,NA,NA,5065,15305,1337.5,3302.5,16195,1185,377.5,1695,7227.5,2702.5,525,1435,10882.5,4945,2067.5,3095,555,0,12.5,NA,0,0,0
