"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37"
"AFG",74418.8638492668,37139.6849494445,34381.6792711028,29358.7681118395,26092.5558356806,14932.2490120403,18660.6491545656,9134.11377895438,4436.30539419296,4344.61216774023,3511.3863618404,10082.1062355695,15557.4787090486,17346.6134944749,18843.6895699043,15269.022684115,12623.4471204589,7046.67757005653,8030.11380664741,12386.3327432289,16044.0152070878,8061.02968448119,573.460536134813,824.82527985997,2822.69721514272,4170.50238250985,1987.93914769187,2623.03232912646,5136.26843845949,3658.22081970323,5422.44403003416,4254.6566126601,364.590699562799,911.318625811843,1254.42791062029,278.594258857989,1287.55715017282
"AGO",15491.2049996466,17200.8998254108,12672.9187941974,12810.6233417126,12919.9245517899,8778.87024403081,7490.15938975552,12230.4771986761,11112.6757859224,16969.4560258685,10417.5318935654,9411.13793562861,5619.20664148232,3614.67586213492,1538.45981504327,870.461088926508,4794.34675859876,2317.65419317819,1069.34921476346,1386.49706365675,5077.95992768777,6636.81941970752,2309.57459732586,28.4897802424374,322.594394378956,674.2051569708,319.13052857284,376.000287411062,1233.76930403841,379.157259001692,713.465236424315,1119.02060153689,4138.16132582152,5765.58684468237,591.33662213511,1015.66209661537,1490.1544875943
"ALB",NA,NA,0.765731530508411,1.12931211081028,1.31660310699328,1.405658520542,63.0140472853582,1.47921279255506,153.269231622997,2.08538822010869,2.48444352376268,2.25547705608733,2.69691084272415,2.66525480085692,2.38084439010569,2.40261875335311,3.10620818143062,3.17190361738878,2.66977819217137,2.05946851921363,0.0268601395588478,0.0899891520871406,0.174167758865596,0.248764930655956,0.305893593624841,0.385657440233632,0.409212111821938,1.39382232706887,0.832399922104995,0.635697104348012,1.92783201270175,0.992816774226145,0.707704064339562,0.538502852952986,1.67898649328634,0.896286861092262,0.647087138678387
"AND",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ARE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ARG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ARM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.97305766834412,2.94570071768961,2.89329171882582,2.84193227097001,1.64584989071496,1.09185973934914,1.06374623659311,1.0302103144062,0.990987764697482,0.954352284378481,0.91962300741322,0.903708711210547,0.871699335662615,0.848431304035441,0.900023047017341,0.874929056593623,0.843769193333718,0.00535454445570399,0.00589531681234127,0.00538035382721907,0.005813211937968,0.00629342687992962,0.00678793513397171,0.00749426385039072,0.00797672294440802,0.00846627948274522,0.0089624978048209
"ATG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AUS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AUT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AZE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,118.456996808113,16.5212703005111,28.4512763073692,131.973714398658,13.7856516467489,9.409411517331,15.4396379357423,33.7368885110566,13.8104829328969,6.19191146695628,6.72664882104787,64.41066336379,23.1435287532716,10.0369537267304,13.981630471345,4.67663794336177,0.0648517390556881,0.237021168983793,0.785544343486901,0.664026654149425,0.71971676635157,0.757118918652234,1.73411003755707,1.69824785885884,0.00758373348287308,0.03511234132291,0.0886006442056485
"BDI",9659.91855773475,6024.71805285772,7280.55672089131,4221.28517195908,5258.8805940153,5721.67294674182,3446.03992731691,4764.59287840647,4012.00451145478,2099.17018657616,1390.81494906503,2763.15863616854,2934.76424424448,1423.76612642197,1816.77679578173,1987.82877529318,653.874143317527,473.322611519931,529.000353095153,2355.53694768001,2694.85582178124,218.80215298497,19.552489629889,103.271901989374,141.000594003737,196.439235603615,57.8835707892292,130.59589787538,162.096063636638,86.7091587579368,85.8130962084703,113.669800093107,46.0291990370706,48.61014337008,46.6910912519995,35.8733546765081,43.4254968967499
"BEL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BEN",13300.7251029339,10674.0915958663,10620.6900760055,12215.615457358,12028.1536310336,6806.73986883762,12321.0141726606,5242.66349954865,3294.74018527633,3382.23831729124,4858.03224801481,2995.59632775032,3164.29900046088,6065.95447186395,8224.43632842291,2225.43882407429,8129.83125362743,1877.45164176378,2089.48051999243,3260.83577779551,4508.04505183271,1417.84134957286,815.135755288045,150.86325483894,394.801929743377,186.963414339725,440.265609579542,874.483668458167,928.146611232498,755.342659503889,720.078899552676,259.693346174378,690.766702288022,1009.06043603968,106.939847764371,275.937524528237,378.336135807544
"BFA",13614.609372887,16389.6738994539,16752.2048062868,23992.2803177033,13615.6494775736,9295.58519246794,23359.3991326507,6758.60738756047,5983.19504998054,7579.15975630524,5455.53451185329,15486.5984323657,9745.92877147545,3563.28450431574,5034.1124865808,14576.4689490934,3906.68952894264,9839.51834634628,5808.54962529514,4060.68947701393,3986.37888974877,205.198449111238,2193.27056456836,1212.11885933188,363.207052957148,588.822047804754,608.284829655943,233.863226716843,4290.83462395923,2332.48572343432,1453.44415083497,443.280929849837,840.370680907396,1125.27384389085,32.9555022468916,362.179297972016,590.377502490029
"BGD",13189.0345014638,23286.9234051914,32936.516395747,42656.432658168,45482.7077629484,52644.9880249501,52789.6209326461,47376.5051354805,36111.717548658,22093.0291662455,28306.1424797656,24899.7305185191,19406.6869167216,24687.8779932327,19995.053990554,18362.3742005098,25475.5752335904,22932.8770019507,20669.1112242291,18839.4056386762,16903.7460036889,15221.0953479152,14928.6465613435,11580.6992563013,27559.2273835649,21801.4700702745,1090.59564718739,1675.47144202383,1979.17859520374,2345.80191612351,1511.43163822452,1871.00179615684,1999.37558704532,3102.23231022587,14.8639673256056,67.492517004036,276.120016059721
"BGR",43.0929416164626,36.6863096889805,30.8847946954044,33.9305094651811,32.2873951229749,33.0640946604419,32.6603896418706,32.5565852185647,32.3479205909198,32.1215054903037,31.9564334563811,65.4307213363198,14.3772975492961,35.5359084677006,28.044591409733,31.3302127067638,29.409532097416,29.7061351609139,28.7808035264963,29.9378769008058,28.8039610846584,29.2056797465089,27.9510948536392,28.3572488768477,27.7012113512461,27.6151259211615,27.3281011450834,27.1553229184338,27.1224723756254,65.1660693380218,7.70875038745495,27.7370496087986,25.73752055819,26.524008092213,25.9555095345755,26.0167567566406,25.6641706519883
"BHR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BHS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BIH",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.42973796835934,8.26043126474193,9.25009833883129,9.85468193393249,10.304768636296,9.97748738817825,13.1763749164304,11.8575773158539,10.5973465290269,9.59575400597819,8.76188787823732,8.04632146036123,5.97402270495724,5.59738820850909,5.22855173936136,4.97833719553372,4.67390548419746,4.40989952362976,4.17311499018479,3.9602501072827,3.76561916078247,3.56491589613576,3.38952540081163,3.51393598713077,3.41187296059712,3.26664178590197,3.13110163346361
"BLR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BLZ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BOL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
