"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37"
"AFG",62671.8868755469,30184.6665809378,27609.4632071892,23036.2539278096,20080.7654701632,10433.5557210828,13178.9975074955,5471.77177176236,1906.18073009937,1679.9749634827,1192.21493426247,1.29742515158549e-08,40.9074776865748,400.683412415567,928.861925967211,429.607909486033,97.1047924706892,4152.48626133928,4709.79329853376,8275.67582476404,11430.9734943728,5071.17369084983,7.73200167363713e-09,7.45451415574378e-09,397.292003813349,1297.21638400968,6.79624306940677e-09,15.2713126583905,1584.60202738872,677.548248013017,1829.61914597693,1302.73610926828,5.13422207385073e-09,4.79422988441474e-09,4.65204606399899e-09,4.52638849219795e-09,4.41972177177972e-09
"AGO",9926.96098793376,13458.6895788786,9562.90561678187,9530.61712177065,9623.84117860654,6191.61271528809,4943.42474084105,8717.75271649856,8099.15004453693,13070.9721643566,7717.9859958771,6681.78074485796,3574.34880529282,1908.97092815426,457.622655941375,44.9808189506344,1686.82910269304,958.796497036023,223.108581571074,295.719044737039,2302.87771825664,4048.820208801,1070.73422508242,2.19473523733079e-09,2.11468725719690e-09,0.862855166276852,2.28805506338139e-09,1.91346795907961e-09,52.1513669275755,1.79126501657941e-09,1.7398623143741e-09,1.68424141632102e-09,1646.72070907957,3484.54403128057,2.02637864123045,199.270460683356,561.324168901173
"ALB",NA,NA,9.5925278789251e-09,9.39442437238893e-09,9.16211309357229e-09,8.89184799870107e-09,8.63539177894841e-09,8.42432333916364e-09,116.069869355564,8.20051088921571e-09,8.15852561023517e-09,8.20443330893728e-09,8.19803122993617e-09,1.09220883565902e-08,1.1031665540158e-08,8.43711820197706e-09,8.48429022767091e-09,6.17613864396029e-05,8.46744047242978e-09,8.55308059415461e-09,8.60006186444093e-09,8.57782016911209e-09,8.6695097934384e-09,8.77003627415265e-09,8.86994308938350e-09,8.85795112394039e-09,8.97762673683336e-09,8.95173297982194e-09,8.95698455647755e-09,8.89754980089453e-09,8.92387964319367e-09,8.8782971257706e-09,1.01585720941451e-08,9.78534077017751e-09,9.82453878458633e-09,9.73338729130404e-09,9.77884948522411e-09
"AND",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ARE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ARG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ARM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.82074894971527e-11,3.86009713675754e-11,3.91271971594877e-11,3.98880935970069e-11,2.61667740703773e-11,1.99359381692599e-11,2.0053444430411e-11,2.03942974852174e-11,2.04512275100964e-11,2.05785228689557e-11,2.06811441769186e-11,2.08035346531462e-11,2.08395318961241e-11,2.0933146605693e-11,2.10167909780539e-11,2.11320071347136e-11,2.11525510013401e-11,2.12117295106271e-11,2.13406247593769e-11,2.13845193165481e-11,2.13560346196524e-11,2.14123682024778e-11,2.12977956215066e-11,2.17842882715778e-11,2.17150845549029e-11,2.16964662047266e-11,2.16524343748839e-11
"ATG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AUS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AUT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
