"","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"AFG",2086499.57093536,1073987.73667649,1004816.55947309,874309.55567741,788899.602455096,487058.9559595,602754.640712693,330984.579129946,194492.738151862,200243.948744404,171252.34956017,971887.917017648,1266984.42407736,1295651.1516322,1320093.85655363,1142156.45840121,1027571.31105122,259385.346103049,296157.331881903,418164.517354609,516739.248903066,284386.055662565,253251.072742421,195421.649864133,182185.639110763,211772.19840068,199907.711332652,234550.258158668,260858.170150523,220010.578956325,265430.551809834,256588.662745941,191250.049229837,249300.79722976,231873.011091366,186074.775603734,262518.832929823
"AGO",844595.890869816,806960.766693468,612500.694285043,626970.294041607,631480.177003716,448716.332376971,401230.802703949,618421.662074994,551942.605087443,806991.943265122,511864.426711205,477332.736915028,309235.655453823,224605.627831045,126052.29752416,106713.82126467,363523.106965758,164279.897058397,115578.333448335,148630.610636522,341884.564597568,375442.019948994,154682.641981761,108109.09523602,122140.436942507,119030.133983378,131622.342419402,115700.054913324,181020.871470864,131358.696537261,146281.041520931,209790.405102376,348533.077736266,385478.665926505,102798.54698182,112296.431232714,129696.708295164
"ALB",NA,NA,21511.9025004147,19413.9429605648,19003.747502702,18891.8428127479,18854.4398343996,18839.9062215678,353699.951262297,115628.886754255,19227.9196395981,19006.3646298029,19570.002950779,18932.8799549079,18782.7027229093,21149.6214343055,23630.5399432758,22504.4198104064,20475.1293408266,20058.3508579308,90893.1881987525,72342.094971291,46567.498075133,37503.0720558395,33205.696590569,30718.5570247953,28599.8147227657,117345.052390646,20820.9252728637,23131.2655694073,118220.192370698,19908.2482937689,21824.1495148895,24408.1205727324,118277.48817253,20366.1801431077,22735.0994404843
"AND",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,NA,40,40,100,20,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0
"ARE",56400,33820,42100,34980,48000,43160,58260,23740,21360,23740,22960,21260,14900,10360,13420,8500,4860,5920,2340,1380,600,1060,840,440,580,NA,NA,1100,NA,1740,NA,2640,0,9980,6940,4460,2420
"ARG",351640,88640,142120,635020,184800,128960,160480,95020,80180,39340,841860,411020,101740,2680,13100,1180,2500,204580,6260,120,0,0,0,0,0,0,0,0,60,340,60,40,0,6360,0,0,60
"ARM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59038.9996098391,91754.725307958,119809.456419702,144614.228052012,166353.519779319,186705.529751739,202777.042067854,216430.36209102,228363.976605686,239108.519779418,248803.101812053,258259.369168298,266025.268068947,273591.01430736,282902.407099234,288413.977436734,293550.647584048,34508.3753553723,65496.4988129271,85334.3197947468,114719.175014101,143196.20071627,170815.774349158,202471.028368286,228948.767956567,254879.817162553,280310.610967788
"ATG",4940,0,200,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0
"AUS",NA,NA,NA,NA,NA,NA,NA,4960,3380,17600,27600,28500,90720,97900,23960,9960,17060,6540,4700,2160,2820,640,1820,1400,200,NA,220,1300,2080,1400,3800,3980,3160,6700,1480,1980,1620
"AUT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1200,NA,NA,NA,0,0,20,NA,0,NA,1800,300,180,460,400,8960,980,1040,1360,0,0,2160,6180,540,1900
