"","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012"
"AFG",622140,406400,376160,323980,289140,162140,207140,91220,23400,32180,15840,NA,NA,NA,NA,NA,NA,44100,72180,130640,175240,49720,15960,9320,25920,39800,22820,31980,57220,39780,60260,55740
"AGO",394280,601340,451780,453700,456440,311600,267360,420180,396400,581380,367640,335440,185460,109600,12700,5020,163660,51520,7000,44380,180920,238900,23920,580,5160,15300,20280,5300,56140,23800,28980,89160
"ALB",NA,60,340,0,0,0,0,0,2720680,NA,0,0,140,580,300,24080,47720,38020,15940,13240,360,320,160,140,120,1360,440,NA,0,200,NA,0
"AND",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,NA,40,40,100,20,0,0,0,0,0,0,0,0,0,0
"ARE",56400,33820,42100,34980,48000,43160,58260,23740,21360,23740,22960,21260,14900,10360,13420,8500,4860,5920,2340,1380,600,1060,840,440,580,NA,NA,1100,NA,1740,NA,2640
"ARG",351640,88640,142120,635020,184800,128960,160480,95020,80180,39340,841860,411020,101740,2680,13100,1180,2500,204580,6260,120,0,0,0,0,0,0,0,0,60,340,60,40
"ARM",NA,NA,NA,NA,NA,NA,NA,NA,NA,17580,3840,920,6760,2980,3740,40540,16040,1040,820,300,1380,800,80,35660,45620,2740,20,0,0,40,0,0
"ATG",4940,0,200,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AUS",NA,NA,NA,NA,NA,NA,NA,4960,3380,17600,27600,28500,90720,97900,23960,9960,17060,6540,4700,2160,2820,640,1820,1400,200,NA,220,1300,2080,1400,3800,3980
"AUT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1200,NA,NA,NA,0,0,20,NA,0,NA,1800,300,180,460,400,8960,980,1040,1360,0
"AZE",NA,NA,NA,NA,NA,NA,NA,NA,NA,40520,122440,10700,26420,129560,9480,3020,13560,57820,21620,4200,11480,87060,39560,16540,24760,4440,0,100,NA,0,0,0
"BDI",1179400,841020,986040,571740,734800,792620,465940,665220,560280,265640,207940,446880,477380,143840,295640,321980,25460,28980,58560,367260,NA,20320,4480,40,0,15680,860,3460,6100,9900,2580,980
"BEL",NA,NA,NA,NA,NA,NA,NA,952320,1620880,NA,144320,191300,147460,226920,213000,144420,77380,0,NA,NA,1660,NA,880,1220,520,300,1280,1960,660,800,11520,0
"BEN",247560,237000,235480,268740,264200,147480,263600,105500,65620,NA,107920,60980,82040,151140,209380,27300,190420,12960,51460,84880,117180,31760,4340,5240,4200,3520,6820,18560,29220,7840,8520,5760
"BFA",346540,418800,427900,601880,349220,234440,565640,155640,149480,196080,131800,435020,288900,58500,113380,370680,28760,NA,110320,121480,83480,34880,58920,1540,5060,2500,240,7900,1082360,50220,17200,147240
"BGD",208820,362320,191380,237020,233980,287040,272620,229420,546540,34100,185840,115360,108860,191420,99900,98580,206580,130440,113320,101960,88280,69680,81340,194860,518680,123840,58480,53200,14360,15760,112500,39720
"BGR",184780,5620,6520,5840,19440,27400,31200,8080,2220,2940,40560,405160,7080,2420,3440,13900,460,1600,480,920,160,0,0,0,60,20,20,20,44980,440080,3140,20
